***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Desvios da funcao de producao das usinas hidroeletricas

------;------;------;------;-------;--------------;--------;----------;----------;------------;-----------;--------;
 IPER ;  USI ; ITER ; IDES ;  Pat  ;     Nome     ;  Varm  ;  Qtur    ;   Vert   ; Ghid(FPHA) ; Ghid(FPH) ; Desvio ;
  -   ;   -  ;   -  ;   -  ;       ;       -      ;   (%)  ; (m3/s)   ;  (m3/s)  ;     (MW)   ;    (MW)   ;   (%)  ;
------;------;------;------;-------;--------------;--------;----------;----------;------------;-----------;--------;
   1  ;   6  ;   1  ;   2  ;LEVE   ; FURNAS       ;  10.11 ;   102.00 ;     0.00 ;     71.48  ;     70.72 ;   1.08 ;
   1  ;   7  ;   1  ;   2  ;LEVE   ; M. DE MORAES ;   9.94 ;  1100.00 ;     0.00 ;    293.53  ;    293.44 ;   0.03 ;
   1  ;   8  ;   1  ;   2  ;LEVE   ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   1  ;  10  ;   1  ;   2  ;LEVE   ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   1  ;  14  ;   1  ;   2  ;LEVE   ; CACONDE      ;  50.03 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   1  ;  15  ;   1  ;   2  ;LEVE   ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   1  ;  16  ;   1  ;   2  ;LEVE   ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
   1  ;  24  ;   1  ;   2  ;LEVE   ; EMBORCACAO   ;  53.51 ;    92.51 ;     0.00 ;    100.45  ;    100.19 ;   0.26 ;
   1  ;  25  ;   1  ;   2  ;LEVE   ; NOVA PONTE   ;  73.40 ;   377.14 ;     0.00 ;    386.76  ;    384.52 ;   0.58 ;
   1  ;  26  ;   1  ;   2  ;LEVE   ; MIRANDA      ; 100.00 ;   455.14 ;     0.00 ;    286.54  ;    283.67 ;   1.01 ;
   1  ;  30  ;   1  ;   2  ;LEVE   ; CORUMBA I    ;  63.00 ;    74.00 ;     0.00 ;     60.80  ;     49.39 ;  23.09 ;
   1  ;  31  ;   1  ;   2  ;LEVE   ; ITUMBIARA    ;  54.10 ;  1015.67 ;     0.00 ;    684.49  ;    680.99 ;   0.51 ;
   1  ;  32  ;   1  ;   2  ;LEVE   ; CACH.DOURADA ;    -   ;  1127.67 ;     0.00 ;    322.77  ;    322.92 ;  -0.05 ;
   1  ;  33  ;   1  ;   2  ;LEVE   ; SAO SIMAO    ;  84.76 ;   450.00 ;     0.00 ;    307.22  ;    306.54 ;   0.22 ;
   2  ;   6  ;   1  ;   2  ;LEVE   ; FURNAS       ;  10.12 ;   102.00 ;     0.00 ;     71.51  ;     70.73 ;   1.10 ;
   2  ;   7  ;   1  ;   2  ;LEVE   ; M. DE MORAES ;   9.88 ;  1100.00 ;     0.00 ;    293.53  ;    293.27 ;   0.09 ;
   2  ;   8  ;   1  ;   2  ;LEVE   ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   2  ;  10  ;   1  ;   2  ;LEVE   ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   2  ;  14  ;   1  ;   2  ;LEVE   ; CACONDE      ;  50.06 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   2  ;  15  ;   1  ;   2  ;LEVE   ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   2  ;  16  ;   1  ;   2  ;LEVE   ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
   2  ;  24  ;   1  ;   2  ;LEVE   ; EMBORCACAO   ;  53.52 ;    51.00 ;     0.00 ;     55.38  ;     55.31 ;   0.13 ;
   2  ;  25  ;   1  ;   2  ;LEVE   ; NOVA PONTE   ;  73.41 ;   153.02 ;     0.00 ;    156.93  ;    156.96 ;  -0.02 ;
   2  ;  26  ;   1  ;   2  ;LEVE   ; MIRANDA      ;  99.72 ;   459.02 ;     0.00 ;    288.98  ;    286.04 ;   1.03 ;
   2  ;  30  ;   1  ;   2  ;LEVE   ; CORUMBA I    ;  63.11 ;    74.00 ;     0.00 ;     61.01  ;     49.42 ;  23.46 ;
   2  ;  31  ;   1  ;   2  ;LEVE   ; ITUMBIARA    ;  54.10 ;  1095.08 ;     0.00 ;    738.01  ;    733.15 ;   0.66 ;
   2  ;  32  ;   1  ;   2  ;LEVE   ; CACH.DOURADA ;    -   ;  1207.08 ;     0.00 ;    344.02  ;    344.35 ;  -0.10 ;
   2  ;  33  ;   1  ;   2  ;LEVE   ; SAO SIMAO    ;  84.82 ;   450.00 ;     0.00 ;    307.22  ;    306.59 ;   0.21 ;
   3  ;   6  ;   1  ;   2  ;LEVE   ; FURNAS       ;  10.14 ;   102.00 ;     0.00 ;     71.53  ;     70.73 ;   1.13 ;
   3  ;   7  ;   1  ;   2  ;LEVE   ; M. DE MORAES ;   9.82 ;  1100.00 ;     0.00 ;    293.53  ;    293.09 ;   0.15 ;
   3  ;   8  ;   1  ;   2  ;LEVE   ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   3  ;  10  ;   1  ;   2  ;LEVE   ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   3  ;  14  ;   1  ;   2  ;LEVE   ; CACONDE      ;  50.09 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   3  ;  15  ;   1  ;   2  ;LEVE   ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   3  ;  16  ;   1  ;   2  ;LEVE   ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
   3  ;  24  ;   1  ;   2  ;LEVE   ; EMBORCACAO   ;  53.53 ;    51.00 ;     0.00 ;     55.38  ;     55.31 ;   0.12 ;
   3  ;  25  ;   1  ;   2  ;LEVE   ; NOVA PONTE   ;  73.42 ;    40.00 ;     0.00 ;     41.02  ;     41.03 ;  -0.02 ;
   3  ;  26  ;   1  ;   2  ;LEVE   ; MIRANDA      ;  99.81 ;    42.00 ;     0.00 ;     26.44  ;     26.41 ;   0.11 ;
   3  ;  30  ;   1  ;   2  ;LEVE   ; CORUMBA I    ;  63.21 ;    74.00 ;     0.00 ;     61.23  ;     49.44 ;  23.83 ;
   3  ;  31  ;   1  ;   2  ;LEVE   ; ITUMBIARA    ;  54.09 ;  1011.94 ;     0.00 ;    681.98  ;    678.53 ;   0.51 ;
   3  ;  32  ;   1  ;   2  ;LEVE   ; CACH.DOURADA ;    -   ;  1123.94 ;     0.00 ;    321.77  ;    321.91 ;  -0.04 ;
   3  ;  33  ;   1  ;   2  ;LEVE   ; SAO SIMAO    ;  84.88 ;   450.00 ;     0.00 ;    307.22  ;    306.63 ;   0.19 ;
   4  ;   6  ;   1  ;   2  ;LEVE   ; FURNAS       ;  10.15 ;   102.00 ;     0.00 ;     71.55  ;     70.74 ;   1.15 ;
   4  ;   7  ;   1  ;   2  ;LEVE   ; M. DE MORAES ;   9.76 ;  1100.00 ;     0.00 ;    293.53  ;    292.91 ;   0.21 ;
   4  ;   8  ;   1  ;   2  ;LEVE   ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   4  ;  10  ;   1  ;   2  ;LEVE   ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   4  ;  14  ;   1  ;   2  ;LEVE   ; CACONDE      ;  50.12 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   4  ;  15  ;   1  ;   2  ;LEVE   ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   4  ;  16  ;   1  ;   2  ;LEVE   ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
   4  ;  24  ;   1  ;   2  ;LEVE   ; EMBORCACAO   ;  53.53 ;    51.00 ;     0.00 ;     55.38  ;     55.32 ;   0.12 ;
   4  ;  25  ;   1  ;   2  ;LEVE   ; NOVA PONTE   ;  73.42 ;    40.00 ;     0.00 ;     41.02  ;     41.03 ;  -0.02 ;
   4  ;  26  ;   1  ;   2  ;LEVE   ; MIRANDA      ;  99.91 ;    42.00 ;     0.00 ;     26.44  ;     26.41 ;   0.10 ;
   4  ;  30  ;   1  ;   2  ;LEVE   ; CORUMBA I    ;  63.31 ;    74.00 ;     0.00 ;     61.44  ;     49.47 ;  24.19 ;
   4  ;  31  ;   1  ;   2  ;LEVE   ; ITUMBIARA    ;  54.09 ;  1007.95 ;     0.00 ;    679.29  ;    675.88 ;   0.50 ;
   4  ;  32  ;   1  ;   2  ;LEVE   ; CACH.DOURADA ;    -   ;  1119.95 ;     0.00 ;    320.70  ;    320.82 ;  -0.04 ;
   4  ;  33  ;   1  ;   2  ;LEVE   ; SAO SIMAO    ;  84.94 ;   450.00 ;     0.00 ;    307.22  ;    306.68 ;   0.18 ;
   5  ;   6  ;   1  ;   2  ;LEVE   ; FURNAS       ;  10.16 ;   102.00 ;     0.00 ;     71.58  ;     70.74 ;   1.18 ;
   5  ;   7  ;   1  ;   2  ;LEVE   ; M. DE MORAES ;   9.69 ;  1100.00 ;     0.00 ;    293.53  ;    292.74 ;   0.27 ;
   5  ;   8  ;   1  ;   2  ;LEVE   ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   5  ;  10  ;   1  ;   2  ;LEVE   ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   5  ;  14  ;   1  ;   2  ;LEVE   ; CACONDE      ;  50.15 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   5  ;  15  ;   1  ;   2  ;LEVE   ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   5  ;  16  ;   1  ;   2  ;LEVE   ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
