***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 Restricoes de Funcao de Producao
 --------------------------------

Nomenclatura:
-------------
               ----------------------------------------------
               Varm : Volume Armazenado Util      (MW/(hm3)) 
               Qtur : Vazao Turbinada             (MW/(m3/s))
               Vert : Vazao Vertida               (MW/(m3/s))
               Qig  : Vazao no Iguacu (p/ ITaipu) (MW/(m3/s))
               Rhs  : Termo independente          (MW)       
               ----------------------------------------------

-----;--------------;-------;------------;-------------;-------------;-------------;-------------;
USIH ;    Nome      ;SegFpea;    Rhs     ;    Varm     ;    Qtur     ;    Vert     ;     QIg     ;
-----;--------------;-------;------------;-------------;-------------;-------------;-------------;
 006 ; FURNAS       ;    1  ;     0.0000 ;    0.000000 ;    0.694120 ;    0.000000 ;    0.000000 ;
 006 ; FURNAS       ;    2  ;    -8.3391 ;    0.005567 ;    0.687531 ;   -0.002435 ;    0.000000 ;
 006 ; FURNAS       ;    3  ;   -14.6768 ;    0.011135 ;    0.682202 ;   -0.004682 ;    0.000000 ;
 006 ; FURNAS       ;    4  ;   -19.6667 ;    0.016702 ;    0.677743 ;   -0.007033 ;    0.000000 ;
 006 ; FURNAS       ;    5  ;   -23.4678 ;    0.022270 ;    0.673764 ;   -0.009780 ;    0.000000 ;
 007 ; M. DE MORAES ;    1  ;     0.0000 ;    0.000000 ;    0.266843 ;    0.000000 ;    0.000000 ;
 007 ; M. DE MORAES ;    2  ;    -4.3192 ;    0.017277 ;    0.266843 ;   -0.001670 ;    0.000000 ;
 007 ; M. DE MORAES ;    3  ;    -8.6385 ;    0.034554 ;    0.266843 ;   -0.004164 ;    0.000000 ;
 007 ; M. DE MORAES ;    4  ;   -12.9577 ;    0.051831 ;    0.266843 ;   -0.007537 ;    0.000000 ;
 007 ; M. DE MORAES ;    5  ;   -17.2770 ;    0.069108 ;    0.266843 ;   -0.011821 ;    0.000000 ;
 008 ; ESTREITO     ;    1  ;     0.0000 ;    0.000000 ;    0.571889 ;    0.000000 ;    0.000000 ;
 008 ; ESTREITO     ;    2  ;     2.5638 ;    0.000000 ;    0.561613 ;   -0.004183 ;    0.000000 ;
