***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 DESVIOS DO MODELO DA FUNCAO DE PRODUCAO PARA S > 0
 ---------------------------------------------

                GH(FPEA) - GH(FPE)
      DESVIO =  ------------------
                     GH(FPE)

 ---------------------------------------------

USINA: ; 006 ; FURNAS       ;

-----;--------------;--------;---------;----------------------------------------------------------------------------------------------------
     ;              ; VARM   ; QTUR    ; VERT 1  ; VERT 2  ; VERT 3  ; VERT 4  ; VERT 5  ; VERT 6  ; VERT 7  ; VERT 8  ; VERT 9  ; VERT10  ;
-----;--------------;--------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;
USIH ;    USINA     ;  (%)   ;  (m3/s) ;     0.0 ;   706.9 ;  1413.7 ;  2120.6 ;  2827.4 ;  5654.8 ; 11309.7 ; 22619.4 ; 45238.7 ; 90477.4 ;
-----;--------------;--------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;
   6 ; FURNAS       ;    0.0 ;     0.0 ;   100.0 ;   100.0 ;   100.0 ;   100.0 ;   100.0 ;   100.0 ;   100.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;    16.1 ;  -217.0 ;  -282.6 ;  -348.8 ;  -415.7 ;  -483.2 ;  -768.8 ; -1776.4 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;    32.2 ;  -108.1 ;  -140.5 ;  -173.3 ;  -206.5 ;  -240.0 ;  -381.0 ;  -865.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;    48.3 ;   -71.8 ;   -93.2 ;  -114.8 ;  -136.7 ;  -158.9 ;  -251.7 ;  -562.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;    64.5 ;   -53.7 ;   -69.5 ;   -85.6 ;  -101.8 ;  -118.3 ;  -187.1 ;  -410.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;    80.6 ;   -42.8 ;   -55.3 ;   -68.0 ;   -80.9 ;   -94.0 ;  -148.3 ;  -318.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;    96.7 ;   -35.5 ;   -45.8 ;   -56.3 ;   -66.9 ;   -77.7 ;  -122.4 ;  -257.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   112.8 ;   -30.3 ;   -39.0 ;   -47.9 ;   -57.0 ;   -66.1 ;  -103.9 ;  -214.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   128.9 ;   -26.4 ;   -33.9 ;   -41.6 ;   -49.5 ;   -57.4 ;   -90.0 ;  -181.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   145.0 ;   -23.4 ;   -29.9 ;   -36.7 ;   -43.7 ;   -50.7 ;   -79.2 ;  -155.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   161.1 ;   -20.9 ;   -26.8 ;   -32.8 ;   -39.0 ;   -45.3 ;   -70.6 ;  -135.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   177.3 ;   -18.9 ;   -24.2 ;   -29.6 ;   -35.2 ;   -40.8 ;   -63.5 ;  -118.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   193.4 ;   -17.2 ;   -22.0 ;   -26.9 ;   -32.0 ;   -37.1 ;   -57.6 ;  -104.4 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   209.5 ;   -15.8 ;   -20.2 ;   -24.7 ;   -29.3 ;   -34.0 ;   -52.6 ;   -92.4 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   225.6 ;   -14.6 ;   -18.6 ;   -22.7 ;   -27.0 ;   -31.3 ;   -48.3 ;   -82.1 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   241.7 ;   -13.6 ;   -17.2 ;   -21.1 ;   -25.0 ;   -29.0 ;   -44.6 ;   -73.1 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   257.8 ;   -12.6 ;   -16.0 ;   -19.6 ;   -23.2 ;   -26.9 ;   -41.3 ;   -65.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   273.9 ;   -11.8 ;   -15.0 ;   -18.3 ;   -21.7 ;   -25.1 ;   -38.4 ;   -58.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   290.1 ;   -11.1 ;   -14.0 ;   -17.1 ;   -20.3 ;   -23.5 ;   -35.8 ;   -52.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   306.2 ;   -10.4 ;   -13.2 ;   -16.1 ;   -19.1 ;   -22.1 ;   -33.5 ;   -46.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   322.3 ;    -9.8 ;   -12.4 ;   -15.1 ;   -18.0 ;   -20.8 ;   -31.4 ;   -41.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   338.4 ;    -9.3 ;   -11.7 ;   -14.3 ;   -16.9 ;   -19.6 ;   -29.6 ;   -36.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   354.5 ;    -8.8 ;   -11.1 ;   -13.5 ;   -16.0 ;   -18.5 ;   -27.9 ;   -32.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   370.6 ;    -8.4 ;   -10.5 ;   -12.8 ;   -15.2 ;   -17.6 ;   -26.3 ;   -28.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   386.7 ;    -7.9 ;   -10.0 ;   -12.2 ;   -14.4 ;   -16.7 ;   -24.8 ;   -24.7 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   402.9 ;    -7.6 ;    -9.5 ;   -11.6 ;   -13.7 ;   -15.9 ;   -23.5 ;   -21.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   419.0 ;    -7.2 ;    -9.0 ;   -11.0 ;   -13.0 ;   -15.1 ;   -22.3 ;   -18.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   435.1 ;    -6.9 ;    -8.6 ;   -10.5 ;   -12.4 ;   -14.4 ;   -21.1 ;   -15.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   451.2 ;    -6.6 ;    -8.2 ;   -10.0 ;   -11.9 ;   -13.7 ;   -20.1 ;   -12.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   467.3 ;    -6.3 ;    -7.9 ;    -9.6 ;   -11.3 ;   -13.1 ;   -19.1 ;    -9.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   483.4 ;    -6.0 ;    -7.5 ;    -9.2 ;   -10.8 ;   -12.5 ;   -18.2 ;    -7.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   499.5 ;    -5.8 ;    -7.2 ;    -8.8 ;   -10.4 ;   -12.0 ;   -17.3 ;    -5.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   515.7 ;    -5.5 ;    -6.9 ;    -8.4 ;   -10.0 ;   -11.5 ;   -16.5 ;    -3.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   531.8 ;    -5.3 ;    -6.6 ;    -8.1 ;    -9.5 ;   -11.0 ;   -15.7 ;    -0.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   547.9 ;    -5.1 ;    -6.4 ;    -7.7 ;    -9.2 ;   -10.6 ;   -15.0 ;     1.1 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   564.0 ;    -4.9 ;    -6.1 ;    -7.4 ;    -8.8 ;   -10.2 ;   -14.3 ;     3.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   580.1 ;    -4.7 ;    -5.9 ;    -7.1 ;    -8.4 ;    -9.8 ;   -13.6 ;     4.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   596.2 ;    -4.5 ;    -5.6 ;    -6.9 ;    -8.1 ;    -9.4 ;   -13.0 ;     6.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   612.3 ;    -4.4 ;    -5.4 ;    -6.6 ;    -7.8 ;    -9.0 ;   -12.4 ;     8.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   628.5 ;    -4.2 ;    -5.2 ;    -6.3 ;    -7.5 ;    -8.7 ;   -11.8 ;     9.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   644.6 ;    -4.0 ;    -5.0 ;    -6.1 ;    -7.2 ;    -8.3 ;   -11.3 ;    11.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   660.7 ;    -3.9 ;    -4.8 ;    -5.9 ;    -7.0 ;    -8.0 ;   -10.8 ;    12.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   676.8 ;    -3.7 ;    -4.6 ;    -5.7 ;    -6.7 ;    -7.7 ;   -10.3 ;    14.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   692.9 ;    -3.6 ;    -4.5 ;    -5.5 ;    -6.5 ;    -7.4 ;    -9.8 ;    15.7 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   709.0 ;    -3.5 ;    -4.3 ;    -5.3 ;    -6.2 ;    -7.2 ;    -9.4 ;    17.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   725.1 ;    -3.3 ;    -4.2 ;    -5.1 ;    -6.0 ;    -6.9 ;    -8.9 ;    18.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   741.3 ;    -3.2 ;    -4.0 ;    -4.9 ;    -5.8 ;    -6.7 ;    -8.5 ;    19.6 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   757.4 ;    -3.1 ;    -3.9 ;    -4.7 ;    -5.6 ;    -6.4 ;    -8.1 ;    20.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   773.5 ;    -3.0 ;    -3.7 ;    -4.5 ;    -5.4 ;    -6.2 ;    -7.7 ;    22.1 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   789.6 ;    -2.9 ;    -3.6 ;    -4.4 ;    -5.2 ;    -6.0 ;    -7.4 ;    23.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   805.7 ;    -2.8 ;    -3.5 ;    -4.2 ;    -5.0 ;    -5.8 ;    -7.0 ;    24.4 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   821.8 ;    -2.7 ;    -3.3 ;    -4.1 ;    -4.8 ;    -5.6 ;    -6.6 ;    25.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   837.9 ;    -2.6 ;    -3.2 ;    -3.9 ;    -4.7 ;    -5.4 ;    -6.3 ;    26.6 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   854.1 ;    -2.5 ;    -3.1 ;    -3.8 ;    -4.5 ;    -5.2 ;    -6.0 ;    27.7 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   870.2 ;    -2.4 ;    -3.0 ;    -3.6 ;    -4.3 ;    -5.0 ;    -5.7 ;    28.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   886.3 ;    -2.3 ;    -2.9 ;    -3.5 ;    -4.2 ;    -4.8 ;    -5.4 ;    29.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   902.4 ;    -2.2 ;    -2.8 ;    -3.4 ;    -4.0 ;    -4.6 ;    -5.1 ;    30.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   918.5 ;    -2.1 ;    -2.7 ;    -3.3 ;    -3.9 ;    -4.5 ;    -4.8 ;    31.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   934.6 ;    -2.0 ;    -2.6 ;    -3.1 ;    -3.7 ;    -4.3 ;    -4.5 ;    32.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   950.7 ;    -2.0 ;    -2.5 ;    -3.0 ;    -3.6 ;    -4.1 ;    -4.2 ;    33.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   966.9 ;    -1.9 ;    -2.4 ;    -2.9 ;    -3.5 ;    -4.0 ;    -4.0 ;    34.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   983.0 ;    -1.8 ;    -2.3 ;    -2.8 ;    -3.4 ;    -3.8 ;    -3.7 ;    35.7 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;   999.1 ;    -1.7 ;    -2.2 ;    -2.7 ;    -3.2 ;    -3.7 ;    -3.5 ;    36.6 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1015.2 ;    -1.7 ;    -2.1 ;    -2.6 ;    -3.1 ;    -3.5 ;    -3.2 ;    37.6 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1031.3 ;    -1.6 ;    -2.0 ;    -2.5 ;    -3.0 ;    -3.4 ;    -3.0 ;    38.5 ;     0.0 ;     0.0 ;     0.0 ;
