***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

---------------------------------------------------------
Avaliacao do Engolimento Maximo das Usinas Hidroeletricas                       
---------------------------------------------------------
----------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIH:      Numero de cadastro da usina hidroeletrica                                                                                                                                                    
NomeUsih:  Nome de cadastro da usina hidroeletrica                                                                                                                                                      
Vutil Med: Volume armazenado Util medio                                                                                                                                                                 
Qtur:      Vazao turbinada                                                                                                                                                                              
Qver:      Vazao vertida                                                                                                                                                                                
QturMax:   Vazao turbinada Maxima                                                                                                                                                                       
Engolim:   Engolimento Maximo                                                                                                                                                                           
----------------------------------------------------

-----;-----;--------------;----------;---------;---------;---------;------------;
IPER ;USIH ;   NomeUsih   ;Vutil Med ;  Qtur   ;  Qver   ; QturMax ;  Engolim   ;
  -  ;  -  ;      -       ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;   (m3/s)   ;
-----;-----;--------------;----------;---------;---------;---------;------------;
   1 ; 006 ; FURNAS       ;    10.11 ;   102.00;     0.00;  1692.00;    1598.98 ;
   1 ; 007 ; M. DE MORAES ;     9.94 ;  1100.00;     0.00;  1328.00;    1142.90 ;
   1 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
   1 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
   1 ; 014 ; CACONDE      ;    50.03 ;     8.00;     0.00;    94.00;      91.28 ;
   1 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
   1 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
   1 ; 024 ; EMBORCACAO   ;    53.51 ;    71.40;     0.00;  1048.00;    1022.89 ;
   1 ; 025 ; NOVA PONTE   ;    73.41 ;   184.10;     0.00;   576.00;     619.94 ;
   1 ; 026 ; MIRANDA      ;    99.94 ;   311.47;     0.00;   675.00;     685.90 ;
   1 ; 030 ; CORUMBA I    ;    62.92 ;   555.83;     0.00;   570.00;     556.16 ;
   1 ; 031 ; ITUMBIARA    ;    54.11 ;  1018.66;     0.00;  2940.00;    2860.82 ;
   1 ; 032 ; CACH.DOURADA ;    -     ;  1130.66;     0.00;  2513.00;    2558.20 ;
   1 ; 033 ; SAO SIMAO    ;    84.76 ;   490.43;     0.00;  2670.00;    2754.55 ;
   2 ; 006 ; FURNAS       ;    10.14 ;   102.00;     0.00;  1692.00;    1599.04 ;
   2 ; 007 ; M. DE MORAES ;     9.82 ;  1100.00;     0.00;  1328.00;    1142.56 ;
   2 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
   2 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
   2 ; 014 ; CACONDE      ;    50.08 ;     8.00;     0.00;    94.00;      91.29 ;
   2 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
   2 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
   2 ; 024 ; EMBORCACAO   ;    53.53 ;    51.00;     0.00;  1048.00;    1023.24 ;
   2 ; 025 ; NOVA PONTE   ;    73.42 ;   159.00;     0.00;   576.00;     619.94 ;
   2 ; 026 ; MIRANDA      ;    99.66 ;   415.63;     0.00;   675.00;     685.12 ;
   2 ; 030 ; CORUMBA I    ;    62.96 ;   555.86;     0.00;   570.00;     556.19 ;
   2 ; 031 ; ITUMBIARA    ;    54.12 ;   818.35;     0.00;  2940.00;    2866.29 ;
   2 ; 032 ; CACH.DOURADA ;    -     ;   930.35;     0.00;  2513.00;    2563.22 ;
   2 ; 033 ; SAO SIMAO    ;    84.87 ;   450.00;     0.00;  2670.00;    2755.06 ;
   3 ; 006 ; FURNAS       ;    10.16 ;   102.00;     0.00;  1692.00;    1599.11 ;
   3 ; 007 ; M. DE MORAES ;     9.69 ;  1100.00;     0.00;  1328.00;    1142.22 ;
   3 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
   3 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
