***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Dados Relativos as Usinas Hidraulicas:

----;--------;----;--------------;----;-----;-------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----;-----------;-----------;
    ;        ;    ;              ;    ;     ;       ;   Vagua   ;       Vol.Final ;     ;         Qincr        ;;         Qmont        ;;         Qmontv       ;;         Qdesv        ;;         QEvap        ;;      VazUsoAltern      ;;         Qtur         ;;        QturMin       ;;        QturMax       ;;        Engolimento   ;;         Vert         ;;  Geracao  ;    Gmax    ; Capacidade ;     ;  Perdhid  ;  Hqueda   ;
IPER;   Pat  ;USIH;     Nome     ;SIST;CONJ ; Unid  ;   $/MWh   ;    Hm3    ;   %       ;   m3/s    ;    Hm3    ;   m3/s    ;    Hm3    ;    m3/s   ;     Hm3   ;     m3/s  ;      Hm3  ;    m3/s   ;     Hm3   ;  m3/s      ;    Hm3     ;     m3/s  ;      Hm3  ;    m3/s   ;     Hm3   ;   m3/s    ;    Hm3    ;   m3/s    ;    Hm3    ;    m3/s   ;     Hm3/s ;     MW    ;     MW     ;     MW     ; L/D ;     MW    ;     m     ;
----;--------;----;--------------;----;-----;-------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----;-----------;-----------;
  1 ; LEVE   ;  6 ; FURNAS       ; S1 ;   1 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1692.00 ;      6.09 ;           ;           ;           ;           ;     71.48 ;     -      ;     164.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  6 ; FURNAS       ; S1 ;   1 ;    2  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1692.00 ;      6.09 ;           ;           ;           ;           ;      0.00 ;     -      ;     164.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  6 ; FURNAS       ; S1 ;   1 ;    3  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1692.00 ;      6.09 ;           ;           ;           ;           ;      0.00 ;     -      ;     164.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  6 ; FURNAS       ; S1 ;   1 ;    4  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1692.00 ;      6.09 ;           ;           ;           ;           ;      0.00 ;     -      ;     164.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  6 ; FURNAS       ; S1 ;   1 ;    5  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1692.00 ;      6.09 ;           ;           ;           ;           ;      0.00 ;     -      ;     164.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  6 ; FURNAS       ; S1 ;   1 ;    6  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1692.00 ;      6.09 ;           ;           ;           ;           ;      0.00 ;     -      ;     164.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  6 ; FURNAS       ; S1 ;   2 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1692.00 ;      6.09 ;           ;           ;           ;           ;      0.00 ;     -      ;     164.00 ;  L  ;      0.00 ;           ;
