***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

----------------------------------------------
Geracao e custos marginais por unidade termica                                  
----------------------------------------------
------------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIT:      Numero de cadastro da usina termoeletrica                                                                                                                                                    
UNIDT:     Numero de cadastro da unidade termoeletrica                                                                                                                                                  
Nome Usit: Nome da usina termoeletrica                                                                                                                                                                  
NomeSist:  Nome do subsistema                                                                                                                                                                           
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
GTER:      Geracao Termoeletrica                                                                                                                                                                        
CustLin:   Custo linear de geracao da unidade termica                                                                                                                                                   
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
------------------------------------------------------

-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
IPER ;USIT ;UNIDT ;  Nome Usit   ;NomeSist;NumBarra;  GTER   ; CustLin ;   CMO    ;    CMB     ;
  -  ;  -  ;  -   ;      -       ;   -    ;   -    ;  (MW)   ; ($/MWh) ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
   1 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   657.00;  200.000;  224.250 ;         22 ;
   1 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;     0.00;  253.430;  224.250 ;         22 ;
   1 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;    84.00;  210.000;  224.250 ;         22 ;
   1 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   200.00;  205.340;  224.250 ;         22 ;
   1 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   220.00;  210.410;  222.690 ;         22 ;
   2 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   657.00;  200.000;  220.660 ;         22 ;
   2 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;     0.00;  253.430;  220.660 ;         22 ;
