***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

-----------------------------
Titulacao das usinas Termicas                                                   
-----------------------------
-------------------------------------------------------------------------------------------------
IPER:            Indice do periodo.                                                                                                                                                                     
USIT:            Numero de cadastro da usina termoeletrica                                                                                                                                              
Nome Usit:       Nome da usina termoeletrica                                                                                                                                                            
NomeSist:        Nome do subsistema                                                                                                                                                                     
Gter:            Geracao Termoeletrica                                                                                                                                                                  
Ordem Merito:    Titulacao da usina termica por Ordem Merito                                                                                                                                            
Inflexibilidade: Titulacao da usina termica devido a inflexibilidade                                                                                                                                    
GERACAO UC:      Geracao da usina termica devido a restricoes de UC                                                                                                                                     
TOFF:            Montante de geracao das unidades que estao cumprindo tempo minimo desligada (TOF                                                                                                       
ORD.MER.TOTAL:   Indica que a usina esta na ordem de merito gerando o maximo .                                                                                                                          
-------------------------------------------------------------------------------------------------

-----;-----;--------------;--------;---------;------------;-----------------;------------;------------;-------------;
IPER ;USIT ;  Nome Usit   ;NomeSist;  Gter   ;Ordem Merito; Inflexibilidade ; GERACAO UC ;    TOFF    ;ORD.MER.TOTAL;
  -  ;  -  ;      -       ;   -    ;  (MW)   ;     MW     ;       MW        ;     MW     ;     -      ;      -      ;
-----;-----;--------------;--------;---------;------------;-----------------;------------;------------;-------------;
   1 ; 001 ; ANGRA 1      ; S1     ;   657.00;     657.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 002 ; IGARAPE      ; S1     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 003 ; ST.CRUZ 12   ; S1     ;    84.00;      84.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 050 ; PIRAT.12 G   ; S1     ;   200.00;     200.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 004 ; ST.CRUZ 34   ; S2     ;   220.00;     220.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   2 ; 001 ; ANGRA 1      ; S1     ;   657.00;     657.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   2 ; 002 ; IGARAPE      ; S1     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   2 ; 003 ; ST.CRUZ 12   ; S1     ;    84.00;      84.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   2 ; 050 ; PIRAT.12 G   ; S1     ;   200.00;     200.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   2 ; 004 ; ST.CRUZ 34   ; S2     ;   220.00;     220.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   3 ; 001 ; ANGRA 1      ; S1     ;   657.00;     657.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   3 ; 002 ; IGARAPE      ; S1     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   3 ; 003 ; ST.CRUZ 12   ; S1     ;    84.00;      84.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   3 ; 050 ; PIRAT.12 G   ; S1     ;   200.00;     200.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   3 ; 004 ; ST.CRUZ 34   ; S2     ;   220.00;     220.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   4 ; 001 ; ANGRA 1      ; S1     ;   657.00;     657.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   4 ; 002 ; IGARAPE      ; S1     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   4 ; 003 ; ST.CRUZ 12   ; S1     ;    84.00;      84.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   4 ; 050 ; PIRAT.12 G   ; S1     ;   200.00;     200.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   4 ; 004 ; ST.CRUZ 34   ; S2     ;   220.00;     220.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   5 ; 001 ; ANGRA 1      ; S1     ;   657.00;     657.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   5 ; 002 ; IGARAPE      ; S1     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   5 ; 003 ; ST.CRUZ 12   ; S1     ;    84.00;      84.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   5 ; 050 ; PIRAT.12 G   ; S1     ;   200.00;     200.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   5 ; 004 ; ST.CRUZ 34   ; S2     ;   220.00;     220.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   6 ; 001 ; ANGRA 1      ; S1     ;   657.00;     657.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   6 ; 002 ; IGARAPE      ; S1     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   6 ; 003 ; ST.CRUZ 12   ; S1     ;    84.00;      84.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   6 ; 050 ; PIRAT.12 G   ; S1     ;   200.00;     200.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   6 ; 004 ; ST.CRUZ 34   ; S2     ;   220.00;     220.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   7 ; 001 ; ANGRA 1      ; S1     ;   657.00;     657.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   7 ; 002 ; IGARAPE      ; S1     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   7 ; 003 ; ST.CRUZ 12   ; S1     ;    84.00;      84.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
