***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

-----------------------------------------------
Resultado da Operacao das Usinas Hidroeletricas                                 
-----------------------------------------------
--------------------------------------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
IPAT:      Patamar de Carga                                                                                                                                                                             
USIH:      Numero de cadastro da usina hidroeletrica                                                                                                                                                    
NomeUsih:  Nome de cadastro da usina hidroeletrica                                                                                                                                                      
NomeSist:  Nome do subsistema                                                                                                                                                                           
VutilInic: Volume Util Inicial                                                                                                                                                                          
Vutil Fim: Volume Util Final                                                                                                                                                                            
Vutil Max: Volume Util maximo                                                                                                                                                                           
Qinc:      Vazao incremental natural                                                                                                                                                                    
Vinc:      Volume Incremental Natural                                                                                                                                                                   
Qret:      Vazao retirada para usos alternativos                                                                                                                                                        
Vret:      Volume retirado para usos alternativos                                                                                                                                                       
Qevap:     Vazao evaporada                                                                                                                                                                              
Vevap:     Volume evaporado                                                                                                                                                                             
Qmon:      Vazao de montante, vinda do proprioperiodo                                                                                                                                                   
Vmon:      Volume de montante, vinda do proprio periodo                                                                                                                                                 
Qmontv:    Vazao de montante, vinda de periodos passados (tempo de viagem)                                                                                                                              
Vmontv:    Volume de montante, vinda de periodos passados (tempo de viagem)                                                                                                                             
Qtur:      Vazao turbinada                                                                                                                                                                              
QturMax:   Vazao turbinada Maxima                                                                                                                                                                       
Engolim:   Engolimento Maximo                                                                                                                                                                           
Vtur:      Volume Turbinado                                                                                                                                                                             
Qver:      Vazao vertida                                                                                                                                                                                
Vver:      Volume Vertido                                                                                                                                                                               
Qdes:      Vazao desviada                                                                                                                                                                               
Vdes:      Volume Desviado                                                                                                                                                                              
Qbom:      Vazao Bombeada: Apenas a saida, a entrada e contabilizada no QMON                                                                                                                            
Vbom:      Volume Bombeado: Apenas a saida, a entrada e contabilizada no VMON                                                                                                                           
QEnch:     Taxa de enchimento de volume morto                                                                                                                                                           
VEnch:     Volume de enchimento de volume morto                                                                                                                                                         
TDesc:     Taxa de descarga de fundo                                                                                                                                                                    
VDesc:     Volume de descaga de fundo                                                                                                                                                                   
Ghid:      Geração hidroeletrica                                                                                                                                                                        
Ghmax:     Geração hidroeletrica maxima                                                                                                                                                                 
Pinst:     Potencia instalada                                                                                                                                                                           
ValorAgua: Valor da Agua (considerando a produtividade media da usina no periodo                                                                                                                        
--------------------------------------------------------------------------------

-----;-----;-----;--------------;--------;----------;----------;----------;----------;----------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;------------;---------;---------;---------;---------;---------;---------;---------;------------;------------;------------;------------;----------;----------;----------;---------;
IPER ;IPAT ;USIH ;   NomeUsih   ;NomeSist;VutilInic ;VutilInic ;Vutil Fim ;Vutil Fim ;Vutil Max ;  Qinc   ;  Vinc   ;  Qret   ;  Vret   ;  Qevap  ;  Vevap  ;  Qmon   ;  Vmon   ; Qmontv  ; Vmontv  ;  Qtur   ; QturMax ;  Engolim   ;  Vtur   ;  Qver   ;  Vver   ;  Qdes   ;  Vdes   ;  Qbom   ;  Vbom   ;   QEnch    ;   VEnch    ;   TDesc    ;   VDesc    ;   Ghid   ;  Ghmax   ;  Pinst   ;ValorAgua;
  -  ;  -  ;  -  ;      -       ;   -    ;  (hm3)   ;   (%)    ;  (hm3)   ;   (%)    ;  (hm3)   ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ; (Hm3 )  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ; (m3/s)  ;   (m3/s)   ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ;   (m3/s)   ;   (hm3)    ;    m3/s    ;   (hm3)    ;   (MW)   ;   (MW)   ;   (MW)   ; ($/MWh) ;
-----;-----;-----;--------------;--------;----------;----------;----------;----------;----------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;------------;---------;---------;---------;---------;---------;---------;---------;------------;------------;------------;------------;----------;----------;----------;---------;
   1 ;   1 ; 006 ; FURNAS       ; S1     ;  1738.92 ;    10.10 ;  1743.21 ;    10.12 ; 17217.00 ;  1295.00;     4.66;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;   102.00;  1692.00;    1598.98 ;     0.37;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    71.48 ;  1312.00 ;  1312.00 ;   248.20;
   1 ;   1 ; 007 ; M. DE MORAES ; S1     ;   250.00 ;    10.00 ;   246.94 ;     9.88 ;  2500.00 ;   149.00;     0.54;     0.00;     0.00;     0.00;     0.00;   102.00;     0.37;     0.00;     0.00;  1100.00;  1328.00;    1142.90 ;     3.96;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   293.53 ;   478.00 ;   478.00 ;   243.60;
   1 ;   1 ; 008 ; ESTREITO     ; S1     ;     -    ;     -    ;     -    ;     -    ;     -    ;    31.00;     0.11;     0.00;     0.00;     0.00;     0.00;  1100.00;     3.96;     0.00;     0.00;  1131.00;  2028.00;    2057.79 ;     4.07;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   646.81 ;  1104.00 ;  1104.00 ;   226.67;
   1 ;   1 ; 010 ; IGARAPAVA    ; S1     ;     -    ;     -    ;     -    ;     -    ;     -    ;    49.00;     0.18;     0.00;     0.00;     0.00;     0.00;  1131.00;     4.07;     0.00;     0.00;  1180.00;  1480.00;    1498.77 ;     4.25;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   178.03 ;   210.00 ;   210.00 ;   217.07;
   1 ;   1 ; 014 ; CACONDE      ; S1     ;   252.00 ;    50.00 ;   252.31 ;    50.06 ;   504.00 ;    85.00;     0.31;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;    94.00;      91.28 ;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;     0.00 ;    80.40 ;    80.40 ;   224.22;
   1 ;   1 ; 015 ; E. DA CUNHA  ; S1     ;     -    ;     -    ;     -    ;     -    ;     -    ;    55.00;     0.20;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;    55.00;   148.00;     147.55 ;     0.20;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    41.30 ;   108.80 ;   108.80 ;   212.21;
   1 ;   1 ; 016 ; A.S.OLIVEIRA ; S1     ;     -    ;     -    ;     -    ;     -    ;     -    ;     2.00;     0.01;     0.00;     0.00;     0.00;     0.00;    55.00;     0.20;     0.00;     0.00;    57.00;   178.00;     185.04 ;     0.21;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    12.43 ;    32.00 ;    32.00 ;   221.09;
