***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Valor da Agua  ($/MWh) / usina / hora 

-----;-----;--------;
IPER ;USIH ; Vagua  ;
-----;-----;--------;
  01 ;   6 ; 248.20 ;
  01 ;   7 ; 243.60 ;
  01 ;  14 ; 224.22 ;
  01 ;  24 ; 223.27 ;
  01 ;  25 ; 221.73 ;
  01 ;  26 ; 221.71 ;
  01 ;  30 ; 226.44 ;
  01 ;  31 ; 221.33 ;
  01 ;  33 ; 228.19 ;
  02 ;   6 ; 248.21 ;
  02 ;   7 ; 243.64 ;
  02 ;  14 ; 224.20 ;
  02 ;  24 ; 223.31 ;
  02 ;  25 ; 221.46 ;
  02 ;  26 ; 221.92 ;
  02 ;  30 ; 226.55 ;
  02 ;  31 ; 221.59 ;
  02 ;  33 ; 228.15 ;
  03 ;   6 ; 248.22 ;
  03 ;   7 ; 243.68 ;
  03 ;  14 ; 224.19 ;
  03 ;  24 ; 223.12 ;
  03 ;  25 ; 220.92 ;
  03 ;  26 ; 221.13 ;
  03 ;  30 ; 226.25 ;
  03 ;  31 ; 221.29 ;
  03 ;  33 ; 228.12 ;
  04 ;   6 ; 248.24 ;
  04 ;   7 ; 243.72 ;
  04 ;  14 ; 224.17 ;
  04 ;  24 ; 223.10 ;
  04 ;  25 ; 220.90 ;
  04 ;  26 ; 221.11 ;
  04 ;  30 ; 226.16 ;
  04 ;  31 ; 221.26 ;
  04 ;  33 ; 228.08 ;
  05 ;   6 ; 248.25 ;
  05 ;   7 ; 243.76 ;
  05 ;  14 ; 224.16 ;
  05 ;  24 ; 222.46 ;
  05 ;  25 ; 220.38 ;
  05 ;  26 ; 220.35 ;
  05 ;  30 ; 225.33 ;
  05 ;  31 ; 220.22 ;
  05 ;  33 ; 228.05 ;
  06 ;   6 ; 248.26 ;
  06 ;   7 ; 243.80 ;
  06 ;  14 ; 224.14 ;
  06 ;  24 ; 223.54 ;
  06 ;  25 ; 221.89 ;
  06 ;  26 ; 222.23 ;
  06 ;  30 ; 226.36 ;
  06 ;  31 ; 221.74 ;
  06 ;  33 ; 228.25 ;
  07 ;   6 ; 248.27 ;
  07 ;   7 ; 243.84 ;
  07 ;  14 ; 224.13 ;
  07 ;  24 ; 223.53 ;
  07 ;  25 ; 221.89 ;
  07 ;  26 ; 222.24 ;
  07 ;  30 ; 226.28 ;
  07 ;  31 ; 221.72 ;
  07 ;  33 ; 228.21 ;
  08 ;   6 ; 248.29 ;
  08 ;   7 ; 243.88 ;
  08 ;  14 ; 224.11 ;
  08 ;  24 ; 223.70 ;
  08 ;  25 ; 221.41 ;
  08 ;  26 ; 221.87 ;
  08 ;  30 ; 226.62 ;
  08 ;  31 ; 222.29 ;
  08 ;  33 ; 227.95 ;
  09 ;   6 ; 248.30 ;
  09 ;   7 ; 243.92 ;
  09 ;  14 ; 224.10 ;
  09 ;  24 ; 223.33 ;
  09 ;  25 ; 221.11 ;
  09 ;  26 ; 221.43 ;
  09 ;  30 ; 226.11 ;
  09 ;  31 ; 221.68 ;
  09 ;  33 ; 227.92 ;
  10 ;   6 ; 248.31 ;
  10 ;   7 ; 243.96 ;
  10 ;  14 ; 224.08 ;
  10 ;  24 ; 223.74 ;
  10 ;  25 ; 221.70 ;
  10 ;  26 ; 222.06 ;
  10 ;  30 ; 226.54 ;
  10 ;  31 ; 222.38 ;
  10 ;  33 ; 227.88 ;
  11 ;   6 ; 248.33 ;
  11 ;   7 ; 244.00 ;
  11 ;  14 ; 224.07 ;
  11 ;  24 ; 224.15 ;
  11 ;  25 ; 221.78 ;
  11 ;  26 ; 222.40 ;
  11 ;  30 ; 226.96 ;
  11 ;  31 ; 223.06 ;
  11 ;  33 ; 227.84 ;
  12 ;   6 ; 248.47 ;
  12 ;   7 ; 244.18 ;
  12 ;  14 ; 235.25 ;
  12 ;  24 ; 225.90 ;
  12 ;  25 ; 222.34 ;
  12 ;  26 ; 222.01 ;
  12 ;  30 ; 225.72 ;
  12 ;  31 ; 221.44 ;
  12 ;  33 ; 228.95 ;
  13 ;   6 ; 248.35 ;
  13 ;   7 ; 244.08 ;
  13 ;  14 ; 224.06 ;
  13 ;  24 ; 223.65 ;
  13 ;  25 ; 222.60 ;
  13 ;  26 ; 222.39 ;
  13 ;  30 ; 226.18 ;
  13 ;  31 ; 222.17 ;
  13 ;  33 ; 227.78 ;
  14 ;   6 ; 248.36 ;
  14 ;   7 ; 244.12 ;
  14 ;  14 ; 224.04 ;
  14 ;  24 ; 224.56 ;
  14 ;  25 ; 222.98 ;
  14 ;  26 ; 223.88 ;
  14 ;  30 ; 226.49 ;
  14 ;  31 ; 222.71 ;
  14 ;  33 ; 228.35 ;
  15 ;   6 ; 248.38 ;
  15 ;   7 ; 244.16 ;
  15 ;  14 ; 224.03 ;
  15 ;  24 ; 224.51 ;
  15 ;  25 ; 222.81 ;
  15 ;  26 ; 223.64 ;
  15 ;  30 ; 226.34 ;
  15 ;  31 ; 222.60 ;
  15 ;  33 ; 228.21 ;
  16 ;   6 ; 248.39 ;
  16 ;   7 ; 244.20 ;
  16 ;  14 ; 224.01 ;
  16 ;  24 ; 224.75 ;
  16 ;  25 ; 223.05 ;
  16 ;  26 ; 223.99 ;
  16 ;  30 ; 226.46 ;
  16 ;  31 ; 222.86 ;
  16 ;  33 ; 228.39 ;
  17 ;   6 ; 248.40 ;
  17 ;   7 ; 244.24 ;
  17 ;  14 ; 224.00 ;
  17 ;  24 ; 224.98 ;
  17 ;  25 ; 223.15 ;
  17 ;  26 ; 224.12 ;
  17 ;  30 ; 226.51 ;
  17 ;  31 ; 223.04 ;
  17 ;  33 ; 228.47 ;
  18 ;   6 ; 248.42 ;
  18 ;   7 ; 244.28 ;
  18 ;  14 ; 223.98 ;
  18 ;  24 ; 225.28 ;
  18 ;  25 ; 223.03 ;
  18 ;  26 ; 223.95 ;
  18 ;  30 ; 226.52 ;
  18 ;  31 ; 223.15 ;
  18 ;  33 ; 228.46 ;
  19 ;   6 ; 248.61 ;
  19 ;   7 ; 244.45 ;
  19 ;  14 ; 235.16 ;
  19 ;  24 ; 225.16 ;
  19 ;  25 ; 223.23 ;
  19 ;  26 ; 224.71 ;
  19 ;  30 ; 226.58 ;
  19 ;  31 ; 223.33 ;
  19 ;  33 ; 228.72 ;
  20 ;   6 ; 249.13 ;
  20 ;   7 ; 244.48 ;
  20 ;  14 ; 235.16 ;
  20 ;  24 ; 225.44 ;
  20 ;  25 ; 222.29 ;
  20 ;  26 ; 223.56 ;
  20 ;  30 ; 225.08 ;
  20 ;  31 ; 221.34 ;
  20 ;  33 ; 228.70 ;
  21 ;   6 ; 420.45 ;
  21 ;   7 ; 241.59 ;
  21 ;  14 ; 235.16 ;
  21 ;  24 ; 355.08 ;
  21 ;  25 ; 319.07 ;
  21 ;  26 ; 398.78 ;
  21 ;  30 ;  10.44 ;
  21 ;  31 ; 561.69 ;
  21 ;  33 ; 240.83 ;
  22 ;   6 ; 247.02 ;
  22 ;   7 ; 238.85 ;
  22 ;  14 ; 235.09 ;
  22 ;  24 ; 315.46 ;
  22 ;  25 ; 295.48 ;
  22 ;  26 ; 348.68 ;
  22 ;  30 ;   2.30 ;
  22 ;  31 ; 438.10 ;
  22 ;  33 ; 266.45 ;
  23 ;   6 ; 246.27 ;
  23 ;   7 ; 238.86 ;
  23 ;  14 ; 235.16 ;
  23 ;  24 ; 316.92 ;
  23 ;  25 ; 295.33 ;
  23 ;  26 ; 348.38 ;
  23 ;  30 ;   1.93 ;
  23 ;  31 ; 437.39 ;
  23 ;  33 ; 265.86 ;
  24 ;   6 ; 245.94 ;
  24 ;   7 ; 238.77 ;
  24 ;  14 ; 223.97 ;
  24 ;  24 ; 318.44 ;
  24 ;  25 ; 294.68 ;
  24 ;  26 ; 347.08 ;
  24 ;  30 ;   1.93 ;
  24 ;  31 ; 436.87 ;
  24 ;  33 ; 265.42 ;
