NUMERO DE USINAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
XXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
156
NUMERO DAS USINAS NO CADASTRO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156                                                                                                                                                                                                                                                                 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX                                                                                                                                                                                                                                                                 
1   2   4   24  27  28  25  33  156 9   11  134 26  10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  44  46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 131 133 125 180 181 182 183 184 107 108 109 117 118 119 32  135 139 262 89  144 66  110 111 112 113 114 74  76  82  115 73  71  72  57  77  78  93  91  92  252 253 267 281 86  90  97  98  99  103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 261 48  249 241 304 305 196 195 95  203 154 29  94  215 155 311 312 310 315 21  290 101 276 102 277 285 286 284 229 192 288 314                                                                                                                                                                                                                                                                 
Hr  Dd  Mm  Ano                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
XX  XX  XX  XXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
00  28  06  2017
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
X X X X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
5 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
NUM     NOME      itp   DI HI M DF HF M      VAZAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
  1 CAMARGOS       1    28      F                  42
  1 CAMARGOS       1    29      F                  48
  2 ITUTINGA       1    28      F                   8
  2 ITUTINGA       1    29      F                   0
  4 FUNIL-GRANDE   1    28      F                  44
  4 FUNIL-GRANDE   1    29      F                  51
 24 EMBORCACAO     1    28      F                  44
 24 EMBORCACAO     1    29      F                  60
 27 CAPIM BRANC1   1    28      F                   1
 27 CAPIM BRANC1   1    29      F                   1
 28 CAPIM BRANC2   1    28      F                   5
 28 CAPIM BRANC2   1    29      F                   1
 25 NOVA PONTE     1    28      F                  89
 25 NOVA PONTE     1    29      F                 108
 33 SAO SIMAO      1    28      F                 329
 33 SAO SIMAO      1    29      F                 370
156 TRES MARIAS    1    28      F                  35
156 TRES MARIAS    1    29      F                 103
  9 JAGUARA        1    28      F                   3
  9 JAGUARA        1    29      F                   2
 11 VOLTA GRANDE   1    28      F                  14
 11 VOLTA GRANDE   1    29      F                  14
134 SALTO GRANDE   1    28      F                  29
134 SALTO GRANDE   1    29      F                  35
 26 MIRANDA        1    28      F                   4
 26 MIRANDA        1    29      F                   4
 10 IGARAPAVA      1    28      F                  12
 10 IGARAPAVA      1    29      F                   6
143 AIMORES        1    28      F                  36
143 AIMORES        1    29      F                   3
162 QUEIMADO       1    28      F                   7
162 QUEIMADO       1    29      F                  10
148 IRAPE          1    28      F                   9
148 IRAPE          1    29      F                   9
217 ROSAL          1    28      F                  12
217 ROSAL          1    29      F                  12
193 SA CARVALHO    1    28      F                   1
193 SA CARVALHO    1    29      F                   2
141 BAGUARI        1    28      F                  17
141 BAGUARI        1    29      F                  59
 14 CACONDE        1    28      F                  22
 14 CACONDE        1    29      F                  28
 18 A. VERMELHA    1    28      F                 120
 18 A. VERMELHA    1    29      F                 150
 37 BARRA BONITA   1    28      F                 280
 37 BARRA BONITA   1    29      F                 381
 40 PROMISSAO      1    28      F                  57
 40 PROMISSAO      1    29      F                 141
 42 NAVANHANDAVA   1    28      F                  23
 42 NAVANHANDAVA   1    29      F                  53
 15 E. DA CUNHA    1    28      F                  20
 15 E. DA CUNHA    1    29      F                  18
 16 A.S.OLIVEIRA   1    28      F                   1
 16 A.S.OLIVEIRA   1    29      F                   1
 38 A.S. LIMA      1    28      F                  50
 38 A.S. LIMA      1    29      F                  56
 39 IBITINGA       1    28      F                  65
 39 IBITINGA       1    29      F                  89
 62 TAQUARUCU      1    28      F                  60
 62 TAQUARUCU      1    29      F                  51
 63 ROSANA         1    28      F                 171
 63 ROSANA         1    29      F                 175
 52 CANOAS I       1    28      F                  16
 52 CANOAS I       1    29      F                  34
 51 CANOAS II      1    28      F                   8
 51 CANOAS II      1    29      F                  16
 47 A.A. LAYDNER   1    28      F                 297
 47 A.A. LAYDNER   1    29      F                 367
 49 CHAVANTES      1    28      F                 159
 49 CHAVANTES      1    29      F                 223
 61 CAPIVARA       1    28      F                 450
 61 CAPIVARA       1    29      F                 412
 50 L.N. GARCEZ    1    28      F                 128
 50 L.N. GARCEZ    1    29      F                 178
 45 JUPIA          1    28      F                 353
 45 JUPIA          1    29      F                 425
 44 I. SOLT. EQV   1    24      F                 289 
 46 P. PRIMAVERA   1    28      F                1200
 46 P. PRIMAVERA   1    29      F                1119
120 JAGUARI        1    28      F                  13
120 JAGUARI        1    29      F                  13
121 PARAIBUNA      1    28      F                  32
121 PARAIBUNA      1    29      F                  52
  6 FURNAS         1    28      F                 186
