&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    26 00 0  F                  49
DEFANT     4    6  H    26 00 0  F                  90
DEFANT    24   31  H    26 00 0  F                 158
DEFANT    27   28  H    26 00 0  F                 147
DEFANT    28   31  H    26 00 0  F                 174
DEFANT    25   26  H    26 00 0  F                 144
DEFANT    33   44  H    26 00 0  F                 640
DEFANT   156  169  H    13 00 0  F                 275
DEFANT   156  169  H    14 00 0  F                 275
DEFANT   156  169  H    15 00 0  F                 274
DEFANT   156  169  H    16 00 0  F                 275
DEFANT   156  169  H    17 00 0  F                 287
DEFANT   156  169  H    18 00 0  F                 301
DEFANT   156  169  H    19 00 0  F                 301
DEFANT   156  169  H    20 00 0  F                 301
DEFANT   156  169  H    21 00 0  F                 274
DEFANT   156  169  H    22 00 0  F                 257
DEFANT   156  169  H    23 00 0  F                 259
DEFANT   156  169  H    24 00 0  F                 259
DEFANT   156  169  H    25 00 0  F                 259
DEFANT   156  169  H    26 00 0  F                 260
DEFANT     9   10  H    26 00 0  F                 214
DEFANT    11   12  H    26 00 0  F                 312
DEFANT   134  135  H    26 00 0  F                  30
DEFANT    26   27  H    26 00 0  F                 131
DEFANT    10   11  H    26 00 0  F                 274
DEFANT   143  144  H    26 00 0  F                 154
DEFANT   162  169  H    13 00 0  F                  15
DEFANT   162  169  H    14 00 0  F                  15
DEFANT   162  169  H    15 00 0  F                  15
DEFANT   162  169  H    16 00 0  F                  15
DEFANT   162  169  H    17 00 0  F                  15
DEFANT   162  169  H    18 00 0  F                  15
DEFANT   162  169  H    19 00 0  F                  15
DEFANT   162  169  H    20 00 0  F                  15
DEFANT   162  169  H    21 00 0  F                  15
DEFANT   162  169  H    22 00 0  F                  15
DEFANT   162  169  H    23 00 0  F                  15
DEFANT   162  169  H    24 00 0  F                  15
DEFANT   162  169  H    25 00 0  F                  15
DEFANT   162  169  H    26 00 0  F                  15
DEFANT   148  154  H    22 00 0  F                  36
DEFANT   148  154  H    23 00 0  F                  36
DEFANT   148  154  H    24 00 0  F                  36
DEFANT   148  154  H    25 00 0  F                  36
DEFANT   148  154  H    26 00 0  F                  36
DEFANT   193  141  H    25 00 0  F                  19
DEFANT   193  141  H    26 00 0  F                  14
DEFANT   141  143  H    26 00 0  F                 107
DEFANT    14   15  H    26 00 0  F                  39
DEFANT    18   44  H    26 00 0  F                 925
DEFANT    37   38  H    26 00 0  F                 241
DEFANT    40   42  H    26 00 0  F                 229
DEFANT    15   16  H    26 00 0  F                  64
DEFANT    16   17  H    24 00 0  F                  56
DEFANT    16   17  H    25 00 0  F                  55
DEFANT    16   17  H    26 00 0  F                  54
DEFANT    38   39  H    26 00 0  F                 381
DEFANT    62   63  H    26 00 0  F                1353
DEFANT    63   66  H    25 00 0  F                1092
DEFANT    63   66  H    26 00 0  F                1414
DEFANT    52   61  H    26 00 0  F                 609
DEFANT    51   52  H    26 00 0  F                 572
DEFANT    47   48  H    26 00 0  F                 306
DEFANT    49  249  H    26 00 0  F                 471
DEFANT    61   62  H    26 00 0  F                1351
DEFANT    50   51  H    26 00 0  F                 603
DEFANT   120  123  H    24 00 0  F                  42
DEFANT   120  123  H    25 00 0  F                  42
DEFANT   120  123  H    26 00 0  F                  41
DEFANT   121  122  H    26 00 0  F                 102
DEFANT     6    7  H    26 00 0  F                 271
DEFANT     7    8  H    26 00 0  F                 202
DEFANT     8    9  H    26 00 0  F                 227
DEFANT    12   17  H    26 00 0  F                 256
DEFANT    17   18  H    26 00 0  F                 446
DEFANT    31   32  H    26 00 0  F                  70
DEFANT    30   31  H    26 00 0  F                 126
DEFANT   251  252  H    26 00 0  F                 333
DEFANT   123  125  H    26 00 0  F                 159
DEFANT   129  130  H    26 00 0  F                  88
DEFANT    20   21  H    26 00 0  F                  32
DEFANT   257  261  H    25 00 0  F                 567
DEFANT   257  261  H    26 00 0  F                 568
DEFANT   122  123  H    23 00 0  F                  80
DEFANT   122  123  H    24 00 0  F                  79
DEFANT   122  123  H    25 00 0  F                  78
DEFANT   122  123  H    26 00 0  F                  78
DEFANT   124  183  H    26 00 0  F                  11
DEFANT   125  129  H    26 00 0  F                  72
DEFANT   182  131  H    26 00 0  F                 117
DEFANT    32   33  H    26 00 0  F                 225
DEFANT   135  141  H    26 00 0  F                  10
DEFANT   139  141  H    25 00 0  F                  47
DEFANT   139  141  H    26 00 0  F                  44
DEFANT   262  241  H    26 00 0  F                 129
DEFANT    89   90  H    26 00 0  F                 526
DEFANT   110  111  H    26 00 0  F                  45
DEFANT   111  112  H    26 00 0  F                 340
DEFANT   112  113  H    26 00 0  F                 329
DEFANT   113  114  H    26 00 0  F                 472
DEFANT    74   76  H    26 00 0  F                 867
DEFANT    73   77  H    26 00 0  F                  19
DEFANT    71   72  H    26 00 0  F                 128
DEFANT    72   73  H    26 00 0  F                 128
DEFANT    57   61  H    26 00 0  F                 388
DEFANT    77   78  H    26 00 0  F                1110
DEFANT    78   82  H    26 00 0  F                1088
DEFANT    93   94  H    26 00 0  F                  78
DEFANT    91   92  H    26 00 0  F                1052
DEFANT    92  103  H    26 00 0  F                1208
DEFANT   252  253  H    26 00 0  F                 385
DEFANT   253  257  H    26 00 0  F                 339
DEFANT   267  275  H    24 00 0  F                1167
DEFANT   267  275  H    25 00 0  F                1206
DEFANT   267  275  H    26 00 0  F                1188
DEFANT    86   91  H    26 00 0  F                 264
DEFANT    90   91  H    26 00 0  F                 542
DEFANT    97   98  H    26 00 0  F                  92
DEFANT    98   99  H    26 00 0  F                 173
DEFANT   169  172  H    24 00 0  F                 608
DEFANT   169  172  H    25 00 0  F                 608
DEFANT   169  172  H    26 00 0  F                 608
DEFANT   172  173  H    26 00 0  F                 492
DEFANT   174  178  H    26 00 0  F                   0
DEFANT   175  178  H    26 00 0  F                 496
DEFANT   280  284  H    26 00 0  F                1272
DEFANT   204  280  H    26 00 0  F                1452
DEFANT   126  127  H    26 00 0  F                  17
DEFANT   261  267  H    24 00 0  F                 574
DEFANT   261  267  H    25 00 0  F                 577
DEFANT   261  267  H    26 00 0  F                 576
DEFANT    48   49  H    26 00 0  F                 305
DEFANT   249   50  H    26 00 0  F                 458
DEFANT   241   44  H    26 00 0  F                 181
DEFANT   304  305  H    26 00 0  F                  54
DEFANT   203   30  H    26 00 0  F                  25
DEFANT    29  203  H    26 00 0  F                  14
DEFANT    94  103  H    26 00 0  F                 115
DEFANT   155  156  H    26 00 0  F                  32
DEFANT   311  312  H    26 00 0  F                 117
DEFANT   312  315  H    26 00 0  F                 110
DEFANT   315   44  H    26 00 0  F                 116
DEFANT    21   24  H    26 00 0  F                  45
DEFANT   290   44  H    26 00 0  F                  67
DEFANT   101  102  H    26 00 0  F                 383
DEFANT   285  287  H    26 00 0  F               16723
DEFANT   192  193  H    26 00 0  F                  17
