***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


Problemas Referentes a Altura de Queda

------;------;----;-------;------;--------------;----------;----------;----------;------------;-------------------;
 IPER ; ITER ;IDES;  Pat  ; USIH ;     Nome     ;   Hmont  ;   Hjus   ;   Hliq   ;    Qdef    ;     Problema      ;
  -   ;   -  ;  - ;  -    ;   -  ;       -      ;   (m)    ;   (m)    ;   (m)    ;   (m3/s)   ;        -          ;
------;------;----;-------;------;--------------;----------;----------;----------;------------;-------------------;
   1  ;   1  ; S  ;LEVE   ;   6  ; FURNAS       ;   752.93 ;   671.73 ;    80.31 ;    102.00  ;                   ;
   1  ;   1  ; S  ;LEVE   ;   7  ; M. DE MORAES ;   654.74 ;   622.50 ;    31.99 ;   1100.00  ;  AFOGOU           ;
   1  ;   1  ; S  ;LEVE   ;   8  ; ESTREITO     ;   622.50 ;   558.01 ;    63.53 ;   1131.00  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  10  ; IGARAPAVA    ;   512.00 ;   494.98 ;    16.72 ;   1180.00  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  14  ; CACONDE      ;   845.22 ;   747.21 ;    96.01 ;      0.00  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  15  ; E. DA CUNHA  ;   665.00 ;   575.22 ;    87.79 ;     55.00  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  16  ; A.S.OLIVEIRA ;   573.00 ;   546.19 ;    26.44 ;     57.00  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  24  ; EMBORCACAO   ;   645.33 ;   519.68 ;   124.05 ;     92.51  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  25  ; NOVA PONTE   ;   808.12 ;   696.65 ;   110.55 ;    377.14  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  26  ; MIRANDA      ;   695.99 ;   625.23 ;    68.36 ;    455.14  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  30  ; CORUMBA I    ;   588.13 ;   512.13 ;    74.76 ;     74.00  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  31  ; ITUMBIARA    ;   511.40 ;   434.54 ;    75.94 ;   1015.67  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  32  ; CACH.DOURADA ;   434.12 ;   400.66 ;    32.80 ;   1127.67  ;                   ;
   1  ;   1  ; S  ;LEVE   ;  33  ; SAO SIMAO    ;   399.60 ;   323.65 ;    75.48 ;    450.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;   6  ; FURNAS       ;   752.94 ;   671.73 ;    80.32 ;    102.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;   7  ; M. DE MORAES ;   654.72 ;   622.50 ;    31.97 ;   1100.00  ;  AFOGOU           ;
   2  ;   1  ; S  ;LEVE   ;   8  ; ESTREITO     ;   622.50 ;   558.01 ;    63.53 ;   1131.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  10  ; IGARAPAVA    ;   512.00 ;   494.98 ;    16.72 ;   1180.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  14  ; CACONDE      ;   845.23 ;   747.21 ;    96.02 ;      0.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  15  ; E. DA CUNHA  ;   665.00 ;   575.22 ;    87.79 ;     55.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  16  ; A.S.OLIVEIRA ;   573.00 ;   546.19 ;    26.44 ;     57.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  24  ; EMBORCACAO   ;   645.33 ;   519.52 ;   124.22 ;     51.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  25  ; NOVA PONTE   ;   808.12 ;   695.98 ;   111.21 ;    153.02  ;  AFOGOU           ;
   2  ;   1  ; S  ;LEVE   ;  26  ; MIRANDA      ;   695.98 ;   625.23 ;    68.35 ;    459.02  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  30  ; CORUMBA I    ;   588.17 ;   512.13 ;    74.80 ;     74.00  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  31  ; ITUMBIARA    ;   511.40 ;   434.65 ;    75.83 ;   1095.08  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  32  ; CACH.DOURADA ;   434.12 ;   400.79 ;    32.68 ;   1207.08  ;                   ;
   2  ;   1  ; S  ;LEVE   ;  33  ; SAO SIMAO    ;   399.61 ;   323.65 ;    75.49 ;    450.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;   6  ; FURNAS       ;   752.95 ;   671.73 ;    80.33 ;    102.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;   7  ; M. DE MORAES ;   654.71 ;   622.50 ;    31.95 ;   1100.00  ;  AFOGOU           ;
   3  ;   1  ; S  ;LEVE   ;   8  ; ESTREITO     ;   622.50 ;   558.01 ;    63.53 ;   1131.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  10  ; IGARAPAVA    ;   512.00 ;   494.98 ;    16.72 ;   1180.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  14  ; CACONDE      ;   845.25 ;   747.21 ;    96.03 ;      0.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  15  ; E. DA CUNHA  ;   665.00 ;   575.22 ;    87.79 ;     55.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  16  ; A.S.OLIVEIRA ;   573.00 ;   546.19 ;    26.44 ;     57.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  24  ; EMBORCACAO   ;   645.34 ;   519.52 ;   124.22 ;     51.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  25  ; NOVA PONTE   ;   808.13 ;   695.98 ;   111.21 ;     40.00  ;  AFOGOU           ;
   3  ;   1  ; S  ;LEVE   ;  26  ; MIRANDA      ;   695.98 ;   624.60 ;    68.98 ;     42.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  30  ; CORUMBA I    ;   588.21 ;   512.13 ;    74.84 ;     74.00  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  31  ; ITUMBIARA    ;   511.40 ;   434.53 ;    75.95 ;   1011.94  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  32  ; CACH.DOURADA ;   434.12 ;   400.66 ;    32.81 ;   1123.94  ;                   ;
   3  ;   1  ; S  ;LEVE   ;  33  ; SAO SIMAO    ;   399.62 ;   323.65 ;    75.50 ;    450.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;   6  ; FURNAS       ;   752.95 ;   671.73 ;    80.33 ;    102.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;   7  ; M. DE MORAES ;   654.69 ;   622.50 ;    31.93 ;   1100.00  ;  AFOGOU           ;
   4  ;   1  ; S  ;LEVE   ;   8  ; ESTREITO     ;   622.50 ;   558.01 ;    63.53 ;   1131.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  10  ; IGARAPAVA    ;   512.00 ;   494.98 ;    16.72 ;   1180.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  14  ; CACONDE      ;   845.26 ;   747.21 ;    96.05 ;      0.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  15  ; E. DA CUNHA  ;   665.00 ;   575.22 ;    87.79 ;     55.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  16  ; A.S.OLIVEIRA ;   573.00 ;   546.19 ;    26.44 ;     57.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  24  ; EMBORCACAO   ;   645.35 ;   519.52 ;   124.23 ;     51.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  25  ; NOVA PONTE   ;   808.13 ;   695.99 ;   111.22 ;     40.00  ;  AFOGOU           ;
   4  ;   1  ; S  ;LEVE   ;  26  ; MIRANDA      ;   695.98 ;   624.60 ;    68.98 ;     42.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  30  ; CORUMBA I    ;   588.25 ;   512.13 ;    74.88 ;     74.00  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  31  ; ITUMBIARA    ;   511.40 ;   434.53 ;    75.95 ;   1007.95  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  32  ; CACH.DOURADA ;   434.12 ;   400.65 ;    32.81 ;   1119.95  ;                   ;
   4  ;   1  ; S  ;LEVE   ;  33  ; SAO SIMAO    ;   399.63 ;   323.65 ;    75.51 ;    450.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;   6  ; FURNAS       ;   752.96 ;   671.73 ;    80.34 ;    102.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;   7  ; M. DE MORAES ;   654.67 ;   622.50 ;    31.91 ;   1100.00  ;  AFOGOU           ;
   5  ;   1  ; S  ;LEVE   ;   8  ; ESTREITO     ;   622.50 ;   558.01 ;    63.53 ;   1131.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  10  ; IGARAPAVA    ;   512.00 ;   494.98 ;    16.72 ;   1180.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  14  ; CACONDE      ;   845.27 ;   747.21 ;    96.06 ;      0.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  15  ; E. DA CUNHA  ;   665.00 ;   575.22 ;    87.79 ;     55.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  16  ; A.S.OLIVEIRA ;   573.00 ;   546.19 ;    26.44 ;     57.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  24  ; EMBORCACAO   ;   645.35 ;   519.52 ;   124.24 ;     51.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  25  ; NOVA PONTE   ;   808.14 ;   695.99 ;   111.22 ;     40.00  ;  AFOGOU           ;
   5  ;   1  ; S  ;LEVE   ;  26  ; MIRANDA      ;   695.99 ;   624.60 ;    68.99 ;     42.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  30  ; CORUMBA I    ;   588.29 ;   512.13 ;    74.92 ;     74.00  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  31  ; ITUMBIARA    ;   511.40 ;   434.12 ;    76.35 ;    719.84  ;  AFOGOU           ;
   5  ;   1  ; S  ;LEVE   ;  32  ; CACH.DOURADA ;   434.12 ;   400.17 ;    33.28 ;    831.84  ;                   ;
   5  ;   1  ; S  ;LEVE   ;  33  ; SAO SIMAO    ;   399.65 ;   323.65 ;    75.52 ;    450.00  ;                   ;
   6  ;   1  ; S  ;LEVE   ;   6  ; FURNAS       ;   752.97 ;   671.73 ;    80.35 ;    102.00  ;                   ;
   6  ;   1  ; S  ;LEVE   ;   7  ; M. DE MORAES ;   654.65 ;   622.50 ;    31.89 ;   1100.00  ;  AFOGOU           ;
   6  ;   1  ; S  ;LEVE   ;   8  ; ESTREITO     ;   622.50 ;   558.01 ;    63.53 ;   1131.00  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  10  ; IGARAPAVA    ;   512.00 ;   494.98 ;    16.72 ;   1180.00  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  14  ; CACONDE      ;   845.29 ;   747.21 ;    96.08 ;      0.00  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  15  ; E. DA CUNHA  ;   665.00 ;   575.22 ;    87.79 ;     55.00  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  16  ; A.S.OLIVEIRA ;   573.00 ;   546.19 ;    26.44 ;     57.00  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  24  ; EMBORCACAO   ;   645.36 ;   519.75 ;   124.01 ;    110.41  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  25  ; NOVA PONTE   ;   808.14 ;   696.35 ;   110.86 ;    330.77  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  26  ; MIRANDA      ;   695.98 ;   625.47 ;    68.11 ;    648.07  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  30  ; CORUMBA I    ;   588.34 ;   512.13 ;    74.97 ;     74.00  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  31  ; ITUMBIARA    ;   511.40 ;   434.69 ;    75.78 ;   1122.82  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  32  ; CACH.DOURADA ;   434.12 ;   400.83 ;    32.63 ;   1234.82  ;                   ;
   6  ;   1  ; S  ;LEVE   ;  33  ; SAO SIMAO    ;   399.66 ;   323.72 ;    75.46 ;    615.61  ;                   ;
   7  ;   1  ; S  ;LEVE   ;   6  ; FURNAS       ;   752.97 ;   671.73 ;    80.35 ;    102.00  ;                   ;
   7  ;   1  ; S  ;LEVE   ;   7  ; M. DE MORAES ;   654.63 ;   622.50 ;    31.87 ;   1100.00  ;  AFOGOU           ;
   7  ;   1  ; S  ;LEVE   ;   8  ; ESTREITO     ;   622.50 ;   558.01 ;    63.53 ;   1131.00  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  10  ; IGARAPAVA    ;   512.00 ;   494.98 ;    16.72 ;   1180.00  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  14  ; CACONDE      ;   845.30 ;   747.21 ;    96.09 ;      0.00  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  15  ; E. DA CUNHA  ;   665.00 ;   575.22 ;    87.79 ;     55.00  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  16  ; A.S.OLIVEIRA ;   573.00 ;   546.19 ;    26.44 ;     57.00  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  24  ; EMBORCACAO   ;   645.37 ;   519.75 ;   124.02 ;    110.40  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  25  ; NOVA PONTE   ;   808.14 ;   696.35 ;   110.87 ;    330.55  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  26  ; MIRANDA      ;   695.96 ;   625.47 ;    68.10 ;    648.07  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  30  ; CORUMBA I    ;   588.38 ;   512.13 ;    75.01 ;     74.00  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  31  ; ITUMBIARA    ;   511.40 ;   434.69 ;    75.79 ;   1122.82  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  32  ; CACH.DOURADA ;   434.12 ;   400.83 ;    32.63 ;   1234.82  ;                   ;
   7  ;   1  ; S  ;LEVE   ;  33  ; SAO SIMAO    ;   399.67 ;   323.72 ;    75.47 ;    615.60  ;                   ;
   8  ;   1  ; S  ;LEVE   ;   6  ; FURNAS       ;   752.98 ;   671.73 ;    80.36 ;    102.00  ;                   ;
