***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Memoria de calculo do CMO das barras - participacao nas restricoes de limites de fluxo
  
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
      IPER       ;      NUM        ;      SIST       ;     BARRA DE    ;    BARRA PARA   ;     CIRCUITO    ;  SOM. PI LINHA  ;     PARCELA     ;      FATOR      ;    LBD. FLUX    ;     SENTIDO     ;
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
        15       ;          1      ;       S1        ;         16      ;         17      ;          1      ;        -0.28870 ;         0.28870 ;        -0.02894 ;        -9.97695 ;       -1        ;
        15       ;          2      ;       S1        ;         16      ;         17      ;          1      ;        -0.27549 ;         0.27549 ;        -0.02761 ;        -9.97695 ;       -1        ;
        15       ;          3      ;       S1        ;         16      ;         17      ;          1      ;        -0.70588 ;         0.70588 ;        -0.07075 ;        -9.97695 ;       -1        ;
        15       ;          4      ;       S1        ;         16      ;         17      ;          1      ;        -0.23735 ;         0.23735 ;        -0.02379 ;        -9.97695 ;       -1        ;
        15       ;          5      ;       S1        ;         16      ;         17      ;          1      ;        -0.20209 ;         0.20209 ;        -0.02026 ;        -9.97695 ;       -1        ;
        15       ;          6      ;       S1        ;         16      ;         17      ;          1      ;        -0.15085 ;         0.15085 ;        -0.01512 ;        -9.97695 ;       -1        ;
        15       ;          7      ;       S1        ;         16      ;         17      ;          1      ;        -0.15885 ;         0.15885 ;        -0.01592 ;        -9.97695 ;       -1        ;
        15       ;          8      ;       S1        ;         16      ;         17      ;          1      ;        -0.15885 ;         0.15885 ;        -0.01592 ;        -9.97695 ;       -1        ;
        15       ;          9      ;       S1        ;         16      ;         17      ;          1      ;        -0.20613 ;         0.20613 ;        -0.02066 ;        -9.97695 ;       -1        ;
        15       ;         10      ;       S1        ;         16      ;         17      ;          1      ;        -0.11158 ;         0.11158 ;        -0.01118 ;        -9.97695 ;       -1        ;
        15       ;         11      ;       S1        ;         16      ;         17      ;          1      ;        -0.01006 ;         0.01006 ;        -0.00101 ;        -9.97695 ;       -1        ;
        15       ;         12      ;       S1        ;         16      ;         17      ;          1      ;        -0.04861 ;         0.04861 ;        -0.00487 ;        -9.97695 ;       -1        ;
        15       ;         13      ;       S1        ;         16      ;         17      ;          1      ;         0.00000 ;         0.00000 ;         0.00000 ;        -9.97695 ;       -1        ;
        15       ;         14      ;       S2        ;         16      ;         17      ;          1      ;         0.12935 ;        -0.12935 ;         0.01297 ;        -9.97695 ;       -1        ;
        15       ;         15      ;       S2        ;         16      ;         17      ;          1      ;        -1.54442 ;         1.54442 ;        -0.15480 ;        -9.97695 ;       -1        ;
