***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Dados dos cortes do decomp.
  
-----;--------;------;------;---------;-----------;
NITER; NREGDC ; NSIS ; NPLT ; NUTV ; NGNL ;IPTDEC1 ;
   IPTDEC2 ;
-----;--------;------;------;---------;-----------;
  27 ;    135 ;    2 ;   14 ;    0 ;    0 ;    135  ;       0   ;
-----;--------;------;------;---------;-----------;

Cortes da segunda semana de estudo do DECOMP

-----;------;------;-----;-----;-----;----------------;
 IND ; IREG ; TIPO ; USI ; LAG ; PAT ;    Valor       ;
-----;------;------;-----;-----;-----;----------------;
   1 ;  135 ; RHS  ;     ;     ;     ;     5980846.81 ;
   1 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
   1 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.10 ;
   1 ;      ; VARM ;   8 ;  -  ;  -  ;         -41.01 ;
   1 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.54 ;
   1 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.47 ;
   1 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.31 ;
   1 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
   1 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
   1 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
   1 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.57 ;
   1 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.40 ;
   1 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.92 ;
   1 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.45 ;
   1 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.27 ;
   2 ;  130 ; RHS  ;     ;     ;     ;     5979535.25 ;
   2 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
   2 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.09 ;
