***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

-------------------------------------------------------------------------------------
USIH:        Numero de cadastro da usina hidroeletrica                                                                                                                                                  
IPER:        Indice do periodo.                                                                                                                                                                         
NomeUsih:    Nome de cadastro da usina hidroeletrica                                                                                                                                                    
Varm Med:    Volume armazenado Total medio (Vmorto + Vutil)                                                                                                                                             
Vutil:       Volume Util                                                                                                                                                                                
Qtur:        Vazao turbinada                                                                                                                                                                            
Qver:        Vazao vertida                                                                                                                                                                              
Qjus:        Vazao afluente à jusante (ex: Iguacu)                                                                                                                                                      
Afog:        Indicacao de afogamento do canal de fuga                                                                                                                                                   
Ghid (FPH):  Geração hidroeletrica obtida pela funcao exata (nao linear)                                                                                                                                
Ghid (FPHA): Geração hidroeletrica obtida pela funcao de producao (linear por partes)                                                                                                                   
Desvio Abs:  Desvio absoluto entre o valor exato e o obtido pelo modelo (MW)                                                                                                                            
DesvioPerc:  Desvio percentual entre o valor exato e o obtido pelo modelo (MW)                                                                                                                          
Vtfuga:      Flag para indicar se o vertimento influencia na cota do canal de fuga                                                                                                                      
-------------------------------------------------------------------------------------

-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
USIH ;IPER ;   NomeUsih   ; Varm Med ;  Vutil   ;  Qtur   ;  Qver   ;  Qjus   ;Afog;Ghid (FPH);Ghid (FPHA; Desvio Abs ; DesvioPerc ;Vtfuga;
  -  ;  -  ;      -       ;  (hm3)   ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;    ;   (MW)   ;   (MW)   ;    (MW)    ;    (%)     ;  -   ;
-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
 006 ;   1 ; FURNAS       ;    -     ;    10.11 ;   102.00;     0.00;     0.00;  0 ;    70.72 ;    71.48 ;       0.76 ;       1.08 ;   1  ;
 007 ;   1 ; M. DE MORAES ;    -     ;     9.94 ;  1100.00;     0.00;     0.00;  1 ;   293.44 ;   293.53 ;       0.09 ;       0.03 ;   1  ;
 008 ;   1 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   1 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   1 ; CACONDE      ;    -     ;    50.03 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   1 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   1 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   1 ; EMBORCACAO   ;    -     ;    53.51 ;    92.51;     0.00;     0.00;  0 ;   100.19 ;   100.45 ;       0.26 ;       0.26 ;   0  ;
 025 ;   1 ; NOVA PONTE   ;    -     ;    73.40 ;   377.14;     0.00;     0.00;  0 ;   384.52 ;   386.76 ;       2.24 ;       0.58 ;   1  ;
 026 ;   1 ; MIRANDA      ;    -     ;   100.00 ;   455.14;     0.00;     0.00;  0 ;   283.67 ;   286.54 ;       2.86 ;       1.01 ;   0  ;
 030 ;   1 ; CORUMBA I    ;    -     ;    63.00 ;    74.00;     0.00;     0.00;  0 ;    49.39 ;    60.80 ;      11.41 ;      23.09 ;   1  ;
 031 ;   1 ; ITUMBIARA    ;    -     ;    54.10 ;  1015.67;     0.00;     0.00;  0 ;   680.99 ;   684.49 ;       3.50 ;       0.51 ;   1  ;
 032 ;   1 ; CACH.DOURADA ;    -     ;   100.00 ;  1127.67;     0.00;     0.00;  0 ;   322.92 ;   322.77 ;      -0.15 ;      -0.05 ;   1  ;
 033 ;   1 ; SAO SIMAO    ;    -     ;    84.76 ;   450.00;     0.00;     0.00;  0 ;   306.54 ;   307.22 ;       0.68 ;       0.22 ;   0  ;
 006 ;   2 ; FURNAS       ;    -     ;    10.14 ;   102.00;     0.00;     0.00;  0 ;    70.73 ;    71.51 ;       0.78 ;       1.10 ;   1  ;
 007 ;   2 ; M. DE MORAES ;    -     ;     9.82 ;  1100.00;     0.00;     0.00;  1 ;   293.27 ;   293.53 ;       0.26 ;       0.09 ;   1  ;
 008 ;   2 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   2 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   2 ; CACONDE      ;    -     ;    50.09 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   2 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   2 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   2 ; EMBORCACAO   ;    -     ;    53.52 ;    51.00;     0.00;     0.00;  0 ;    55.31 ;    55.38 ;       0.07 ;       0.13 ;   0  ;
 025 ;   2 ; NOVA PONTE   ;    -     ;    73.41 ;   153.02;     0.00;     0.00;  1 ;   156.96 ;   156.93 ;      -0.03 ;      -0.02 ;   1  ;
 026 ;   2 ; MIRANDA      ;    -     ;    99.72 ;   459.02;     0.00;     0.00;  0 ;   286.04 ;   288.98 ;       2.94 ;       1.03 ;   0  ;
 030 ;   2 ; CORUMBA I    ;    -     ;    63.21 ;    74.00;     0.00;     0.00;  0 ;    49.42 ;    61.01 ;      11.59 ;      23.46 ;   1  ;
 031 ;   2 ; ITUMBIARA    ;    -     ;    54.10 ;  1095.08;     0.00;     0.00;  0 ;   733.15 ;   738.01 ;       4.86 ;       0.66 ;   1  ;
 032 ;   2 ; CACH.DOURADA ;    -     ;   100.00 ;  1207.08;     0.00;     0.00;  0 ;   344.35 ;   344.02 ;      -0.34 ;      -0.10 ;   1  ;
 033 ;   2 ; SAO SIMAO    ;    -     ;    84.88 ;   450.00;     0.00;     0.00;  0 ;   306.59 ;   307.22 ;       0.63 ;       0.21 ;   0  ;
 006 ;   3 ; FURNAS       ;    -     ;    10.16 ;   102.00;     0.00;     0.00;  0 ;    70.73 ;    71.53 ;       0.80 ;       1.13 ;   1  ;
 007 ;   3 ; M. DE MORAES ;    -     ;     9.69 ;  1100.00;     0.00;     0.00;  1 ;   293.09 ;   293.53 ;       0.44 ;       0.15 ;   1  ;
 008 ;   3 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   3 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   3 ; CACONDE      ;    -     ;    50.15 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   3 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   3 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   3 ; EMBORCACAO   ;    -     ;    53.54 ;    51.00;     0.00;     0.00;  0 ;    55.31 ;    55.38 ;       0.07 ;       0.12 ;   0  ;
