***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


DESVIO MEDIO (MW):*******
DESVIO TOTAL (%):-100.05
DESVIO MEDIO PARA CIMA (MW):  *******
DESVIO MEDIO PARA BAIXO (MW):    0.24
DESVIO TOTAL PARA CIMA (%):   -100.05
DESVIO TOTAL PARA BAIXO (%):    -0.00
MEDIA POR PERIODO DO VERTIMENTO TURBINAVEL - VT (MWmed):             0.0
MEDIA POR PERIODO DO VERTIMENTO TURBINAVEL - VT (MWmed):              0.0
MEDIA POR PERIODO DO VERTIMENTO NAO TURBINAVEL - VNT (MWmed):        0.0
MEDIA POR PERIODO DO VERTIMENTO NAO TURBINAVEL - VNT (MWmed):         0.0


DISTRIBUICOES ACUMULADAS TOTAL E POR PERIODO
-----;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;
     ;      TOTAL      ;    IPER =   1  ;;    IPER =   2  ;;    IPER =   3  ;;    IPER =   4  ;;    IPER =   5  ;;    IPER =   6  ;;    IPER =   7  ;;    IPER =   8  ;;    IPER =   9  ;;    IPER =  10  ;;    IPER =  11  ;;    IPER =  12  ;;    IPER =  13  ;;    IPER =  14  ;;    IPER =  15  ;;    IPER =  16  ;;    IPER =  17  ;;    IPER =  18  ;;    IPER =  19  ;;    IPER =  20  ;;    IPER =  21  ;;    IPER =  22  ;;    IPER =  23  ;;    IPER =  24  ;;
 PERC;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;DESV(MW);DESV(%) ;
-----;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;
   1 ;    0.00;   -0.21;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.03;    0.01;    0.03;  -98.63;    0.02;   -1.14;    0.03;   -0.21;    0.00;    0.00;
   2 ;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.03;    0.01;    0.03;  -98.63;    0.02;   -1.14;    0.03;   -0.21;    0.00;    0.00;
   3 ;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.03;    0.01;    0.03;  -98.63;    0.02;   -1.14;    0.03;   -0.21;    0.00;    0.00;
   4 ;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.03;    0.01;    0.03;  -98.63;    0.02;   -1.14;    0.03;   -0.21;    0.00;    0.00;
   5 ;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.03;    0.01;    0.03;  -98.63;    0.02;   -1.14;    0.03;   -0.21;    0.00;    0.00;
   6 ;    0.01;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.03;    0.01;    0.03;  -98.63;    0.02;   -1.14;    0.03;   -0.21;    0.00;    0.00;
   7 ;    0.01;    0.01;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.00;    0.03;    0.02;    0.03;    0.01;    0.03;  -98.63;    0.02;   -1.14;    0.03;   -0.21;    0.00;    0.00;
