***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Relatorio das geracoes para cada recursao.
  
------;------;------;-------;--------;-----;--------------;-------------;
      ;      ;      ;       ;  TIPO  ;     ;              ;             ;
 IPER ; ITER ; IDES ; VOLTA ; USINA  ; NUM ;     Nome     ;   Geracao   ;
------;------;------;-------;--------;-----;--------------;-------------;
    1 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    1 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     293.422 ;
    1 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    1 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    1 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    1 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    1 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    1 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    1 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;     286.754 ;
    1 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;     261.229 ;
    1 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.556 ;
    1 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     595.767 ;
    1 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     288.137 ;
    1 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     306.680 ;
    1 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    1 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    1 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    1 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    1 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
    2 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    2 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     293.211 ;
    2 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    2 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    2 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    2 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    2 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    2 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    2 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;     162.384 ;
    2 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;     251.516 ;
    2 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.589 ;
    2 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     550.686 ;
    2 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     269.970 ;
    2 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     306.741 ;
    2 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    2 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    2 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    2 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    2 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
    3 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    3 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     293.000 ;
    3 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    3 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    3 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    3 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    3 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    3 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    3 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;      41.021 ;
    3 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;      26.441 ;
    3 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.623 ;
    3 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     473.557 ;
    3 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     237.166 ;
    3 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     306.799 ;
    3 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    3 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    3 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    3 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    3 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
    4 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    4 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     292.788 ;
    4 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    4 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    4 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    4 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    4 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    4 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    4 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;      41.021 ;
    4 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;      26.441 ;
    4 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.656 ;
    4 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     471.168 ;
    4 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     236.160 ;
    4 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     306.855 ;
    4 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    4 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    4 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    4 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    4 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
    5 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    5 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     292.577 ;
    5 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    5 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    5 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    5 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    5 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    5 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    5 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;      41.021 ;
    5 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;      26.441 ;
    5 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.690 ;
    5 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     281.873 ;
    5 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     156.502 ;
    5 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     306.905 ;
    5 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    5 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    5 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    5 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    5 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
    6 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    6 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     292.366 ;
    6 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    6 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    6 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    6 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    6 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    6 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    6 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;     289.401 ;
    6 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;     365.770 ;
    6 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.723 ;
    6 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     739.745 ;
    6 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     346.081 ;
    6 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     306.963 ;
    6 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    6 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    6 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    6 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    6 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
    7 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    7 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     292.155 ;
    7 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    7 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    7 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    7 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    7 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    7 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    7 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;     289.694 ;
    7 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;     364.365 ;
    7 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.756 ;
    7 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     740.621 ;
    7 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     346.425 ;
    7 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     307.033 ;
    7 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    7 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    7 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    7 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    7 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
    8 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    8 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     291.943 ;
    8 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    8 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    8 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    8 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    8 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    8 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    8 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;     191.173 ;
    8 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;      55.435 ;
    8 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.790 ;
    8 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     550.811 ;
    8 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     269.970 ;
    8 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     307.099 ;
    8 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    8 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    8 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    8 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    8 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
    9 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
    9 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     291.732 ;
    9 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
    9 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
    9 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
    9 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
    9 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
    9 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
    9 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;      41.021 ;
    9 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;      42.946 ;
    9 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.823 ;
    9 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     550.825 ;
    9 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     269.970 ;
    9 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     307.159 ;
    9 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
    9 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
    9 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
    9 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
    9 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
   10 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
   10 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     291.521 ;
   10 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
   10 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
   10 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
   10 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
   10 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
   10 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
   10 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;     291.041 ;
   10 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;     154.389 ;
   10 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.857 ;
   10 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     674.835 ;
   10 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     319.911 ;
   10 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     307.216 ;
   10 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
   10 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
   10 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
   10 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
   10 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
   11 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
   11 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     291.310 ;
   11 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
   11 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
   11 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       6.478 ;
   11 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      45.965 ;
   11 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.144 ;
   11 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;      55.383 ;
   11 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;     291.332 ;
   11 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;     156.173 ;
   11 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.890 ;
   11 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;     569.654 ;
   11 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     277.543 ;
   11 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     307.216 ;
   11 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
   11 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
   11 ;    1 ;    F ;     0 ;    T   ;   3 ; ST.CRUZ 12   ;      84.000 ;
   11 ;    1 ;    F ;     0 ;    T   ;  50 ; PIRAT.12 G   ;     200.000 ;
   11 ;    1 ;    F ;     0 ;    T   ;   4 ; ST.CRUZ 34   ;     220.000 ;
   12 ;    1 ;    F ;     0 ;    H   ;   6 ; FURNAS       ;      70.800 ;
   12 ;    1 ;    F ;     0 ;    H   ;   7 ; M. DE MORAES ;     291.099 ;
   12 ;    1 ;    F ;     0 ;    H   ;   8 ; ESTREITO     ;     634.253 ;
   12 ;    1 ;    F ;     0 ;    H   ;  10 ; IGARAPAVA    ;     178.028 ;
   12 ;    1 ;    F ;     0 ;    H   ;  14 ; CACONDE      ;       9.771 ;
   12 ;    1 ;    F ;     0 ;    H   ;  15 ; E. DA CUNHA  ;      48.826 ;
   12 ;    1 ;    F ;     0 ;    H   ;  16 ; A.S.OLIVEIRA ;      14.989 ;
   12 ;    1 ;    F ;     0 ;    H   ;  24 ; EMBORCACAO   ;     432.584 ;
   12 ;    1 ;    F ;     0 ;    H   ;  25 ; NOVA PONTE   ;     510.000 ;
   12 ;    1 ;    F ;     0 ;    H   ;  26 ; MIRANDA      ;     408.000 ;
   12 ;    1 ;    F ;     0 ;    H   ;  30 ; CORUMBA I    ;     355.924 ;
   12 ;    1 ;    F ;     0 ;    H   ;  31 ; ITUMBIARA    ;    1216.725 ;
   12 ;    1 ;    F ;     0 ;    H   ;  32 ; CACH.DOURADA ;     538.185 ;
   12 ;    1 ;    F ;     0 ;    H   ;  33 ; SAO SIMAO    ;     762.516 ;
   12 ;    1 ;    F ;     0 ;    T   ;   1 ; ANGRA 1      ;     657.000 ;
   12 ;    1 ;    F ;     0 ;    T   ;   2 ; IGARAPE      ;       0.000 ;
