***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

-------------------------------------------------------------------------------------
USIH:        Numero de cadastro da usina hidroeletrica                                                                                                                                                  
IPER:        Indice do periodo.                                                                                                                                                                         
NomeUsih:    Nome de cadastro da usina hidroeletrica                                                                                                                                                    
Varm Med:    Volume armazenado Total medio (Vmorto + Vutil)                                                                                                                                             
Vutil:       Volume Util                                                                                                                                                                                
Qtur:        Vazao turbinada                                                                                                                                                                            
Qver:        Vazao vertida                                                                                                                                                                              
Qjus:        Vazao afluente à jusante (ex: Iguacu)                                                                                                                                                      
Afog:        Indicacao de afogamento do canal de fuga                                                                                                                                                   
Ghid (FPH):  Geração hidroeletrica obtida pela funcao exata (nao linear)                                                                                                                                
Ghid (FPHA): Geração hidroeletrica obtida pela funcao de producao (linear por partes)                                                                                                                   
Desvio Abs:  Desvio absoluto entre o valor exato e o obtido pelo modelo (MW)                                                                                                                            
DesvioPerc:  Desvio percentual entre o valor exato e o obtido pelo modelo (MW)                                                                                                                          
Vtfuga:      Flag para indicar se o vertimento influencia na cota do canal de fuga                                                                                                                      
-------------------------------------------------------------------------------------

-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
USIH ;IPER ;   NomeUsih   ; Varm Med ;  Vutil   ;  Qtur   ;  Qver   ;  Qjus   ;Afog;Ghid (FPH);Ghid (FPHA; Desvio Abs ; DesvioPerc ;Vtfuga;
  -  ;  -  ;      -       ;  (hm3)   ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;    ;   (MW)   ;   (MW)   ;    (MW)    ;    (%)     ;  -   ;
-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
 015 ;   1 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   1 ; CORUMBA I    ;    -     ;    63.00 ;    74.00;     0.00;     0.00;  0 ;    49.39 ;    60.80 ;      11.41 ;      23.09 ;   1  ;
 015 ;   2 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   2 ; CORUMBA I    ;    -     ;    63.21 ;    74.00;     0.00;     0.00;  0 ;    49.42 ;    61.01 ;      11.59 ;      23.46 ;   1  ;
 015 ;   3 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   3 ; CORUMBA I    ;    -     ;    63.41 ;    74.00;     0.00;     0.00;  0 ;    49.44 ;    61.23 ;      11.78 ;      23.83 ;   1  ;
 015 ;   4 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   4 ; CORUMBA I    ;    -     ;    63.62 ;    74.00;     0.00;     0.00;  0 ;    49.47 ;    61.44 ;      11.97 ;      24.19 ;   1  ;
 015 ;   5 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   5 ; CORUMBA I    ;    -     ;    63.82 ;    74.00;     0.00;     0.00;  0 ;    49.50 ;    61.66 ;      12.16 ;      24.56 ;   1  ;
 015 ;   6 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   6 ; CORUMBA I    ;    -     ;    64.03 ;    74.00;     0.00;     0.00;  0 ;    49.53 ;    61.87 ;      12.34 ;      24.92 ;   1  ;
 015 ;   7 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   7 ; CORUMBA I    ;    -     ;    64.23 ;    74.00;     0.00;     0.00;  0 ;    49.56 ;    62.09 ;      12.53 ;      25.29 ;   1  ;
 015 ;   8 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   8 ; CORUMBA I    ;    -     ;    64.44 ;    74.00;     0.00;     0.00;  0 ;    49.58 ;    62.30 ;      12.72 ;      25.65 ;   1  ;
 015 ;   9 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;   9 ; CORUMBA I    ;    -     ;    64.64 ;    74.00;     0.00;     0.00;  0 ;    49.61 ;    62.52 ;      12.91 ;      26.02 ;   1  ;
 015 ;  10 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;  10 ; CORUMBA I    ;    -     ;    64.85 ;    74.00;     0.00;     0.00;  0 ;    49.64 ;    62.74 ;      13.10 ;      26.38 ;   1  ;
 015 ;  11 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;  11 ; CORUMBA I    ;    -     ;    65.05 ;    74.00;     0.00;     0.00;  0 ;    49.67 ;    62.95 ;      13.28 ;      26.75 ;   1  ;
 008 ;  12 ; ESTREITO     ;    -     ;   100.00 ;  1170.13;     0.00;     0.00;  0 ;   655.95 ;   669.19 ;      13.24 ;       2.02 ;   1  ;
 014 ;  12 ; CACONDE      ;    -     ;    50.67 ;    91.35;     0.00;     0.00;  0 ;    69.26 ;    73.97 ;       4.71 ;       6.80 ;   1  ;
 016 ;  12 ; A.S.OLIVEIRA ;    -     ;   100.00 ;   148.35;     0.00;     0.00;  0 ;    31.14 ;    32.00 ;       0.86 ;       2.75 ;   1  ;
 024 ;  12 ; EMBORCACAO   ;    -     ;    53.68 ;  1118.13;     0.00;     0.00;  0 ;  1176.50 ;  1214.22 ;      37.72 ;       3.21 ;   0  ;
 030 ;  12 ; CORUMBA I    ;    -     ;    65.26 ;    74.00;     0.00;     0.00;  0 ;    49.69 ;    63.17 ;      13.47 ;      27.11 ;   1  ;
 032 ;  12 ; CACH.DOURADA ;    -     ;   100.00 ;  1068.35;     0.00;     0.00;  0 ;   306.81 ;   313.26 ;       6.45 ;       2.10 ;   1  ;
 015 ;  13 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;  13 ; CORUMBA I    ;    -     ;    65.46 ;    74.00;     0.00;     0.00;  0 ;    49.72 ;    63.38 ;      13.66 ;      27.47 ;   1  ;
 015 ;  14 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;  14 ; CORUMBA I    ;    -     ;    65.67 ;    74.00;     0.00;     0.00;  0 ;    49.75 ;    63.60 ;      13.85 ;      27.84 ;   1  ;
 015 ;  15 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;  15 ; CORUMBA I    ;    -     ;    65.87 ;    74.00;     0.00;     0.00;  0 ;    49.78 ;    63.81 ;      14.04 ;      28.20 ;   1  ;
 015 ;  16 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;  16 ; CORUMBA I    ;    -     ;    66.08 ;    74.00;     0.00;     0.00;  0 ;    49.80 ;    64.03 ;      14.22 ;      28.56 ;   1  ;
