***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Relatorio das violacoes na rede para cada em cada iteracao.
  
----;----;----;----;----;-;-----;--------;-------------;----------;-------------;---;---------;----------;----------;----------;----------;
    ;    ;    ;    ;    ; ;     ;  num   ;   nome      ;          ;             ;   ;LInf (MW); LSup(MW) ;          ;          ;          ;
ITER;IPER;NVOL;IDES;REST;V;-----;--------;-------------;----------;-------------;---;---------;--------- ;  Fluxo   ;       Desvio        ;
    ;    ;    ;    ;    ; ;TpCir;Barra de;   nome      ;Barra para;   nome      ;cir;    -    ; Capac(MW);   (MW)   ;    (MW)  ;    %     ;
----;----;----;----;----;-;-----;--------;-------------;----------;-------------;---;---------;----------;----------;----------;----------;
  1 ;  1 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  300.000 ;  490.804 ;  190.804 ;    63.60 ;
  1 ;  1 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  300.000 ; -425.874 ;  125.874 ;    41.96 ;
  1 ;  1 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  300.000 ;  530.766 ;  230.766 ;    76.92 ;
  1 ;  1 ;  0 ;  F ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  300.000 ; -323.128 ;   23.128 ;     7.71 ;
  1 ;  2 ;  0 ;  F ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  300.000 ;  393.278 ;   93.278 ;    31.09 ;
  1 ;  2 ;  0 ;  F ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  300.000 ; -364.112 ;   64.112 ;    21.37 ;
