***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Relatorio das violacoes na rede. 
  
----;----;----;----;----;-;-----;--------;-------------;----------;-------------;---;---------;----------;----------;----------;----------;
    ;    ;    ;    ;    ; ;     ;  num   ;   nome      ;          ;             ;   ;LInf (MW); LSup(MW) ;          ;          ;          ;
    ;IPER;    ;    ;REST;V;-----;--------;-------------;----------;-------------;---;---------;--------- ;  Fluxo   ;       Desvio        ;
    ;    ;    ;    ;    ; ;TpCir;Barra de;   nome      ;Barra para;   nome      ;cir;    -    ; Capac(MW);   (MW)   ;    (MW)  ;    %     ;
----;----;----;----;----;-;-----;--------;-------------;----------;-------------;---;---------;----------;----------;----------;----------;
    ;   1;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  300.000 ;  300.000 ;    0.000 ;     0.00 ;
    ;   1;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  300.000 ; -300.000 ;    0.000 ;     0.00 ;
    ;   1;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  300.000 ;  300.000 ;    0.000 ;     0.00 ;
    ;   1;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  300.000 ; -166.483 ;  133.517 ;    44.51 ;
    ;   2;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  300.000 ;  284.273 ;   15.727 ;     5.24 ;
    ;   2;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  300.000 ; -198.763 ;  101.237 ;    33.75 ;
    ;   2;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  300.000 ;  242.300 ;   57.700 ;    19.23 ;
    ;   2;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  300.000 ; -135.029 ;  164.971 ;    54.99 ;
    ;   3;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  300.000 ; -142.053 ;  157.947 ;    52.65 ;
    ;   3;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  300.000 ;  122.087 ;  177.913 ;    59.30 ;
    ;   3;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  300.000 ; -122.910 ;  177.090 ;    59.03 ;
    ;   4;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  300.000 ; -149.615 ;  150.385 ;    50.13 ;
    ;   4;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  300.000 ;  128.012 ;  171.988 ;    57.33 ;
    ;   4;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  300.000 ; -122.085 ;  177.915 ;    59.31 ;
    ;   6;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  300.000 ;  300.000 ;    0.000 ;     0.00 ;
    ;   6;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  300.000 ; -288.958 ;   11.042 ;     3.68 ;
    ;   6;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  300.000 ;  300.000 ;    0.000 ;     0.00 ;
