***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / barra / hora

------;-------;-------;-------------;-------;-------------;
 IPER ; Pat   ; BAR   ; Nome        ; Sist  ;    Cmarg    ;
------;-------;-------;-------------;-------;-------------;
   1  ; LEVE  ;     1 ;    BARRA01  ;  S1   ;      224.05 ;
   1  ; LEVE  ;     2 ;    BARRA02  ;  S1   ;      224.09 ;
   1  ; LEVE  ;     3 ;    BARRA03  ;  S1   ;      222.87 ;
   1  ; LEVE  ;     4 ;    BARRA04  ;  S1   ;      224.19 ;
   1  ; LEVE  ;     5 ;    BARRA05  ;  S1   ;      224.29 ;
   1  ; LEVE  ;     6 ;    BARRA06  ;  S1   ;      224.44 ;
   1  ; LEVE  ;     7 ;    BARRA07  ;  S1   ;      224.42 ;
   1  ; LEVE  ;     8 ;    BARRA08  ;  S1   ;      224.42 ;
   1  ; LEVE  ;     9 ;    BARRA09  ;  S1   ;      224.28 ;
   1  ; LEVE  ;    10 ;    BARRA10  ;  S1   ;      224.55 ;
   1  ; LEVE  ;    11 ;    BARRA11  ;  S1   ;      224.84 ;
   1  ; LEVE  ;    12 ;    BARRA12  ;  S1   ;      224.73 ;
   1  ; LEVE  ;    13 ;    BARRA13  ;  S1   ;      224.87 ;
   1  ; LEVE  ;    14 ;    BARRA14  ;  S2   ;      225.23 ;
   1  ; LEVE  ;    15 ;    BARRA15  ;  S2   ;      220.49 ;
   1  ; LEVE  ;    16 ;    BARRA16  ;  S2   ;      225.60 ;
   1  ; LEVE  ;    17 ;    BARRA17  ;  S2   ;      219.78 ;
