***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

---------------------------------------------------------
Eco dos dados de restricoes para as usinas hidroeletricas                       
---------------------------------------------------------
---------------------------------------------------------------------
IPER:        Indice do periodo.                                                                                                                                                                         
TP.ENTID:    Tipo de entidade:                                                                                                                                                                          
             SIST:   Subsistema                                                                                                                                                                         
             USIH:   Usina hidroeletrica                                                                                                                                                                
             USIHTV: Usina hidroeletrica com tempo de viagem                                                                                                                                            
             USIT:   Usina termoeletrica                                                                                                                                                                
             USIE:   Usina elevatoria                                                                                                                                                                   
             CONTR:  Contrato de Importacao/Exportacao                                                                                                                                                  
             INTERC: Intercambio entre subsistemas                                                                                                                                                      
ID.ENTID:    Numero da entidade                                                                                                                                                                         
IperVar:     Periodo associado a variavel da restricao                                                                                                                                                  
TIPOVAR:     Tipo de variavel envolvida na restricao:                                                                                                                                                   
             HMONT: nivel (cota) no reservatorio                                                                                                                                                        
             VUTIL: volume armazenado util                                                                                                                                                              
             QTUR: Vazao turbinada                                                                                                                                                                      
             QVER: Vazao vertida                                                                                                                                                                        
             QDES: Vazao desviada                                                                                                                                                                       
             QDEF: Vazao defluente total                                                                                                                                                                
             GHID: Geracao hidroeletrica                                                                                                                                                                
             QBOM: vazao bombeada                                                                                                                                                                       
             QAFL: Vazao afluente                                                                                                                                                                       
             GTER: Geracao termica                                                                                                                                                                      
             ECONTR: Energia contratada                                                                                                                                                                 
             INTERC: Energia intercambiada entre subsistemas                                                                                                                                            
TIPORESTR:   Tipo de Restricao:                                                                                                                                                                         
             TERMLIM:  Restricao operativa termica de limite                                                                                                                                            
             TERMVAR:  Restricao operativa termica de variacao                                                                                                                                          
             HIDRVAR:  Restricao operativa hidraulica de variacao                                                                                                                                       
             HIDRLIM:  Restricao operativa hidraulica de limite                                                                                                                                         
             CONTRVAR: Restricao operativa de variacao para contratos                                                                                                                                   
             CONTRLIM: Restricao operativa de limite para contratos                                                                                                                                     
             RESP:     Restricoes eletricas especiais                                                                                                                                                   
ID.RESTR:    Numero Identificador da restricao                                                                                                                                                          
Coef:        Coeficiente da variavel na restricao                                                                                                                                                       
Unid:        Unidade da restricao                                                                                                                                                                       
Linf:        Limite inferior da restricao                                                                                                                                                               
Lsup:        Limite superior da restricao                                                                                                                                                               
Outros:      Indica se ha outras variaveis na mesma restricao                                                                                                                                           
JUSTIFRESTR: Justificativa para a Restricao                                                                                                                                                             
             Reg. UT: Limites de geracao termica dos registros UT                                                                                                                                       
             Reg. CI/CE: Registros CI/CE para os contratos                                                                                                                                              
             Reg. RI: Registros RI para restricao de Itaipu                                                                                                                                             
             Reg. RE: Restricoes eletricas especiais (Registros RE)                                                                                                                                     
             OPERUH (MP): Arquivo OPERUH (REGISTROS MP)                                                                                                                                                 
             OPERUH (RQ): Arquivo OPERUH (REGISTROS RQ)                                                                                                                                                 
             OPERUH (RHV): Arquivo OPERUH (REGISTROS RHV)                                                                                                                                               
             OPERUH (RHV): Arquivo OPERUH (REGISTROS RHQ)                                                                                                                                               
---------------------------------------------------------------------

-----;--------;------;---------------;--------;--------;----------;--------;---------;----------;---------;---------;-----;----------------;
IPER ;TP.ENTID;ID.ENT;   NOMEENTID   ;IperVar ;TIPOVAR ;TIPORESTR ;ID.RESTR;  Coef   ;   Unid   ;  Linf   ;  Lsup   ;Outro;  JUSTIFRESTR   ;
  -  ;   -    ;  -   ;       -       ;   -    ;   -    ;    -     ;   -    ;    -    ;    -     ;    -    ;    -    ;  -  ;       -        ;
-----;--------;------;---------------;--------;--------;----------;--------;---------;----------;---------;---------;-----;----------------;
   1 ; USIT   ;     1; ANGRA 1       ;    1   ; GTER   ;TERMLIM   ;      1 ;     1.00;   (MW)   ;     0.00;   657.00; NAO ; Reg. UT        ;
   1 ; USIT   ;     2; IGARAPE       ;    1   ; GTER   ;TERMLIM   ;      2 ;     1.00;   (MW)   ;     0.00;   131.00; NAO ; Reg. UT        ;
   1 ; USIT   ;     3; ST.CRUZ 12    ;    1   ; GTER   ;TERMLIM   ;      3 ;     1.00;   (MW)   ;     0.00;    84.00; NAO ; Reg. UT        ;
   1 ; USIT   ;    50; PIRAT.12 G    ;    1   ; GTER   ;TERMLIM   ;     50 ;     1.00;   (MW)   ;     0.00;   200.00; NAO ; Reg. UT        ;
   1 ; USIT   ;     4; ST.CRUZ 34    ;    1   ; GTER   ;TERMLIM   ;      4 ;     1.00;   (MW)   ;     0.00;   220.00; NAO ; Reg. UT        ;
   1 ; USIH   ;     6; FURNAS        ;    1   ; QDEF   ;HIDRLIM   ;  10006 ;     1.00;  (m3/s)  ;   102.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;     7; M. DE MORAES  ;    1   ; QDEF   ;HIDRLIM   ;  10007 ;     1.00;  (m3/s)  ;  1100.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;     8; ESTREITO      ;    1   ; QDEF   ;HIDRLIM   ;  10008 ;     1.00;  (m3/s)  ;   115.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    10; IGARAPAVA     ;    1   ; QDEF   ;HIDRLIM   ;  10010 ;     1.00;  (m3/s)  ;   119.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    14; CACONDE       ;    1   ; QDEF   ;HIDRLIM   ;  10014 ;     1.00;  (m3/s)  ;     8.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    15; E. DA CUNHA   ;    1   ; QDEF   ;HIDRLIM   ;  10015 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    16; A.S.OLIVEIRA  ;    1   ; QDEF   ;HIDRLIM   ;  10016 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    24; EMBORCACAO    ;    1   ; QDEF   ;HIDRLIM   ;  10024 ;     1.00;  (m3/s)  ;    51.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    25; NOVA PONTE    ;    1   ; QDEF   ;HIDRLIM   ;  10025 ;     1.00;  (m3/s)  ;    40.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    26; MIRANDA       ;    1   ; QDEF   ;HIDRLIM   ;  10026 ;     1.00;  (m3/s)  ;    42.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    30; CORUMBA I     ;    1   ; QDEF   ;HIDRLIM   ;  10030 ;     1.00;  (m3/s)  ;    74.00;     -   ; NAO ; OPERUH (RQ)    ;
