***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

-------------------------------------------------------------------------------
Dados de vazoes naturais afluentes e retiradas de agua para outros usos para as 
-------------------------------------------------------------------------------
-------------------------------------------------------------
IPER:     Indice do periodo.                                                                                                                                                                            
USIH:     Numero de cadastro da usina hidroeletrica                                                                                                                                                     
NomeUsih: Nome de cadastro da usina hidroeletrica                                                                                                                                                       
TpQnat:   Tipo de vazao natural, conforme descricao a seguir:                                                                                                                                           
          I: Vazao natural incremental                                                                                                                                                                  
          T: Vazao natural total                                                                                                                                                                        
          R: Vazao natural regularizada                                                                                                                                                                 
Qnat:     Vazao natural                                                                                                                                                                                 
Qret:     Vazao retirada para usos alternativos                                                                                                                                                         
-------------------------------------------------------------

-----;-----;--------------;------;---------;---------;
IPER ;USIH ;   NomeUsih   ;TpQnat;  Qnat   ;  Qret   ;
  -  ;  -  ;      -       ;  -   ; (m3/s)  ; (m3/s)  ;
-----;-----;--------------;------;---------;---------;
   1 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   1 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   1 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   1 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   1 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   1 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   1 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   1 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
   1 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
   1 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
   1 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
   1 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
   1 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
   1 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
   2 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   2 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   2 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   2 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   2 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   2 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   2 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   2 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
   2 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
   2 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
   2 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
   2 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
   2 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
   2 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
   3 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   3 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   3 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   3 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   3 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   3 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   3 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   3 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
   3 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
   3 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
   3 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
   3 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
   3 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
   3 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
   4 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   4 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   4 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   4 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   4 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   4 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   4 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   4 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
   4 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
   4 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
   4 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
   4 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
   4 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
   4 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
   5 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   5 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   5 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   5 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   5 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   5 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   5 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   5 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
   5 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
   5 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
   5 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
   5 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
   5 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
   5 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
   6 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   6 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   6 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   6 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   6 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   6 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   6 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   6 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
   6 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
   6 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
   6 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
   6 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
   6 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
   6 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
   7 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   7 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   7 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   7 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   7 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   7 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   7 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   7 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
   7 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
   7 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
   7 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
   7 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
   7 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
   7 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
   8 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   8 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   8 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   8 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   8 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   8 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   8 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   8 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
   8 ; 025 ; NOVA PONTE   ;   I  ;   493.00;     0.00;
   8 ; 026 ; MIRANDA      ;   I  ;    78.00;     0.00;
   8 ; 030 ; CORUMBA I    ;   I  ;   661.00;     0.00;
   8 ; 031 ; ITUMBIARA    ;   I  ;   444.00;     0.00;
   8 ; 032 ; CACH.DOURADA ;   I  ;   112.00;     0.00;
   8 ; 033 ; SAO SIMAO    ;   I  ;  1150.00;     0.00;
   9 ; 006 ; FURNAS       ;   I  ;  1295.00;     0.00;
   9 ; 007 ; M. DE MORAES ;   I  ;   149.00;     0.00;
   9 ; 008 ; ESTREITO     ;   I  ;    31.00;     0.00;
   9 ; 010 ; IGARAPAVA    ;   I  ;    49.00;     0.00;
   9 ; 014 ; CACONDE      ;   I  ;    85.00;     0.00;
   9 ; 015 ; E. DA CUNHA  ;   I  ;    55.00;     0.00;
   9 ; 016 ; A.S.OLIVEIRA ;   I  ;     2.00;     0.00;
   9 ; 024 ; EMBORCACAO   ;   I  ;   671.00;     0.00;
