***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
 Relatorio dos fluxos nas linhas
  
----;-------;--;-;-;-;-;------;----;------;------;----;------;----;-----;-----------;-----------;-----------;--------;-----------;-----------;-----------;-----------;-----------;
    ;       ;FLAGS;;;;;       ;    ; BAR  ; Sist ;    ; BAR  ;Sist;     ;   Fluxo   ;   Capac   ;         Perdas    ;;  Multipl. ;  ger de   ; ger para  ; carga de  ;carga para ;
IPER;  Pat  ;  ; ; ; ; ; IND  ; Nv ; DE   ;  De  ; Nv ; PARA ;para; CIR ;    (MW)   ;    (MW)   ;    (MW)   ;   %    ;  ($/MWh)  ;   (MW)    ;   (MW)    ;   (MW)    ;   (MW)    ;
----;-------;--;-;-;-;-;------;----;------;------;----;------;----;-----;-----------;-----------;-----------;--------;-----------;-----------;-----------;-----------;-----------;
   1; LEVE  ;  ; ; ; ; ;    1 ; G  ; 00001;  S1  ; G  ; 00002; S1 ;   1 ;   169.744 ;       300 ;           ;        ;     0.000 ;   728.482 ;   377.528 ;   151.513 ;   136.063 ;
   1; LEVE  ;  ; ; ; ; ;    2 ; G  ; 00001;  S1  ; G  ; 00003; S1 ;   1 ;   140.307 ;       300 ;           ;        ;     0.000 ;   728.482 ;   200.000 ;   151.513 ;   252.453 ;
   1; LEVE  ;  ; ; ; ; ;    3 ; G  ; 00001;  S1  ; G  ; 00005; S1 ;   1 ;   266.917 ;       300 ;           ;        ;     0.000 ;   728.482 ;    41.300 ;   151.513 ;    99.601 ;
   1; LEVE  ;  ; ; ; ; ;    4 ; G  ; 00002;  S1  ; G  ; 00004; S1 ;   1 ;   212.569 ;       300 ;           ;        ;     0.000 ;   377.528 ;     -     ;   136.063 ;   103.824 ;
   1; LEVE  ;  ; ; ; ; ;    5 ; G  ; 00002;  S1  ; G  ; 00006; S1 ;   1 ;   198.640 ;       300 ;           ;        ;     0.000 ;   377.528 ;     -     ;   136.063 ;   190.756 ;
   1; LEVE  ;  ; ; ; ; ;    6 ; G  ; 00003;  S1  ; G  ; 00009; S1 ;   1 ;    91.898 ;       300 ;           ;        ;     0.000 ;   200.000 ;     -     ;   252.453 ;   245.552 ;
   1; LEVE  ;  ; ; ; ; ;    7 ; G  ; 00003;  S1  ; G  ; 00024; S2 ;   1 ;    -4.043 ;       300 ;           ;        ;     0.000 ;   200.000 ;     -     ;   252.453 ;     -     ;
   1; LEVE  ;  ; ; ; ; ;    8 ; G  ; 00004;  S1  ; G  ; 00009; S1 ;   1 ;   108.745 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   103.824 ;   245.552 ;
   1; LEVE  ;  ; ; ; ; ;    9 ; G  ; 00005;  S1  ; G  ; 00010; S1 ;   1 ;   208.617 ;       300 ;           ;        ;     0.000 ;    41.300 ;     -     ;    99.601 ;   273.568 ;
