***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Geraco das barras                                                                                   
  
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------;
 ;    ;       ;      ;       ;   ;              ; Geracao  ;  Carga  ;    Liq   ;   Gmax    ;Max.trans  ;     CMO    ;      ;      ;
 ;IPER;  Pat  ; Ind  ; BAR   ;NV ;    Nome      ;  (MW)    ;   (MW)  ;   (MW)   ;   (MW)    ;    (MW)   ;  (R$/MWh)  ; Sist ; Area ;
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------,
*;  1 ;LEVE   ;    1 ;  0001 ; G ;     BARRA01  ;   728.48 ;  151.51 ;    576.97;  1969.000 ;   900.000 ;     224.05 ;  S1  ;    1 ;
 ;  1 ;LEVE   ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  136.06 ;    241.46;   562.000 ;   900.000 ;     224.09 ;  S1  ;    1 ;
 ;  1 ;LEVE   ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  252.45 ;    -52.45;   200.000 ;   900.000 ;     222.87 ;  S1  ;    1 ;
 ;  1 ;LEVE   ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;  103.82 ;   -103.82;    80.400 ;   600.000 ;     224.19 ;  S1  ;    1 ;
 ;  1 ;LEVE   ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   99.60 ;    -58.30;   108.800 ;   600.000 ;     224.29 ;  S1  ;    1 ;
 ;  1 ;LEVE   ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  190.76 ;   -190.76;     0.000 ;   600.000 ;     224.44 ;  S1  ;    1 ;
 ;  1 ;LEVE   ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  175.31 ;     74.69;     0.000 ;   300.000 ;     224.42 ;  S1  ;    1 ;
 ;  1 ;LEVE   ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  239.89 ;   -239.89;     0.000 ;   900.000 ;     224.42 ;  S1  ;    1 ;
 ;  1 ;LEVE   ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  245.55 ;   -245.55;     0.000 ;  1500.000 ;     224.28 ;  S1  ;    1 ;
