***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

---------------------------------------
Despacho das unidades termicas - UCTERM                                         
---------------------------------------
-----------------------------------------------------------------------------------------
IPER:       Indice do periodo.                                                                                                                                                                          
USIT:       Numero de cadastro da usina termoeletrica                                                                                                                                                   
UNIDT:      Numero de cadastro da unidade termoeletrica                                                                                                                                                 
Nome Usit:  Nome da usina termoeletrica                                                                                                                                                                 
NomeSist:   Nome do subsistema                                                                                                                                                                          
NumBarra:   Numero da barra da rede eletrica                                                                                                                                                            
NOscil.:    Numero maximo de oscilacao entre a geracao maxima e minima em 24 horas                                                                                                                      
GtMinMax:   Flag de ativacao da restricao de geracao fixa na minima ou na maxima                                                                                                                        
Gtmin:      Geracao termica minima                                                                                                                                                                      
Gtminunid:  Geracao termica minima de unidade termica                                                                                                                                                   
Gtmax:      Geracao termica maxima                                                                                                                                                                      
Gtmaxunid:  Geracao termica maxima de unidade termica                                                                                                                                                   
GtminAcio.: Geracao termica minima para acionamento                                                                                                                                                     
Ton:        Tempo minimo de permanencia ligada, para acionamento das unidade termica.                                                                                                                   
Toff:       Tempo minimo de permanencia desligada, para desligamento das unidade termica.                                                                                                               
Status:     Status da usina termica: 1-ligada; 0-desligada                                                                                                                                              
GTER:       Geracao Termoeletrica                                                                                                                                                                       
Tempo:      Tempo que a usina esta na status atual                                                                                                                                                      
CustLin:    Custo linear de geracao da unidade termica                                                                                                                                                  
CSTF:       Custo de partida da unidade termicas.                                                                                                                                                       
CMO:        Custo marginal de operacao                                                                                                                                                                  
CMB:        Custo marginal de operacao da barra                                                                                                                                                         
DualUnid:   Variavel dual relacionada a resticao que fixa as variaveis inteiras                                                                                                                         
Titulacao:  Titulacao das usinas/unidades termicas.                                                                                                                                                     
RAMPUP:     Rampa de subida entre GMin e GMax                                                                                                                                                           
RAMPDN:     Rampa de descida entre GMin e GMax                                                                                                                                                          
UEQV:       Ciclo Combinado: Unidade Equivalente                                                                                                                                                        
RAMPTRANS:  Rampa de Transicao                                                                                                                                                                          
-----------------------------------------------------------------------------------------

-----;-----;------;--------------;--------;--------;-------;--------;---------;---------;---------;---------;---------;-----;-----;---;---------;----------;---------;---------;----------;------------;------------;------------------------------;------------;------------;-----;------------;
IPER ;USIT ;UNIDT ;  Nome Usit   ;NomeSist;NumBarra;NOscil.;GtMinMax;  Gtmin  ;Gtminunid;  Gtmax  ;Gtmaxunid;GtminAcio; Ton ;Toff ;Sta;  GTER   ;  Tempo   ; CustLin ;  CSTF   ;   CMO    ;    CMB     ;  DualUnid  ;          Titulacao           ;   RAMPUP   ;   RAMPDN   ;UEQV ; RAMPTRANS  ;
  -  ;  -  ;  -   ;      -       ;   -    ;   -    ;   -   ;   -    ;  (MW)   ;  (MW)   ;  (MW)   ;  (MW)   ;  (MW)   ; (h) ; (h) ; - ;  (MW)   ;   (h)    ; ($/MWh) ;  (MW)   ; (R$/MWh) ;  (R$/MWh)  ;     $      ;              -               ;     MW     ;     MW     ;     ;     MW     ;
-----;-----;------;--------------;--------;--------;-------;--------;---------;---------;---------;---------;---------;-----;-----;---;---------;----------;---------;---------;----------;------------;------------;------------------------------;------------;------------;-----;------------;
   1 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;      1.0 ;  200.000;     0.00;  224.250 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
   1 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;     -1.0 ;  253.430;     0.00;  224.250 ;         22 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
   1 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;   0   ;   0    ;     0.00;     0.00;   84.000;    84.00;    50.00;  5  ;  5  ;1  ;    84.00;     11.0 ;  210.000;     0.00;  224.250 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;     840.00 ;
   1 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;      1.0 ;  205.340;     0.00;  224.250 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
   1 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     11.0 ;  210.410;     0.00;  222.690 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
   2 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;      2.0 ;  200.000;     0.00;  220.660 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
   2 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;     -2.0 ;  253.430;     0.00;  220.660 ;         22 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
