***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 
Restricoes operativas. 
 
-------;---------;-----;-------;-------;--------------;------;------;------;-------;-------;------------;------------;------------;----------------;----------------------------------------------------;-------------;
 Trata ;   Stat  ;IPER ;  Pat  ; IUSI  ;     Nome     ; Sist ; Tipo ; Cod  ;  Num  ; Fator ;    Linf    ;   Valor    ;    Lsup    ;   Multipl      ;                       obs                          ;justificativa;
-------;---------;-----;-------;-------;--------------;------;------;------;-------;-------;------------;------------;------------;----------------;----------------------------------------------------;-------------;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;    33 ; SAO SIMAO    ; S2   ; H-RV ; DEFL ; 10033 ;  1.00 ;     450.00 ;   450.0000 ;     -      ;     -477.20569 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;    32 ; CACH.DOURADA ; S2   ; H-FD ; DEFL ; 10032 ;  1.00 ;     254.00 ;  1127.6652 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;    31 ; ITUMBIARA    ; S2   ; H-RV ; DEFL ; 10031 ;  1.00 ;     233.00 ;  1015.6652 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;    30 ; CORUMBA I    ; S2   ; H-RV ; DEFL ; 10030 ;  1.00 ;      74.00 ;    74.0000 ;     -      ;    -7887.63917 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;    26 ; MIRANDA      ; S2   ; H-RV ; DEFL ; 10026 ;  1.00 ;      42.00 ;   455.1383 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;    25 ; NOVA PONTE   ; S2   ; H-RV ; DEFL ; 10025 ;  1.00 ;      40.00 ;   377.1383 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;    24 ; EMBORCACAO   ; S2   ; H-RV ; DEFL ; 10024 ;  1.00 ;      51.00 ;    92.5050 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;    16 ; A.S.OLIVEIRA ; S1   ; H-FD ; DEFL ; 10016 ;  1.00 ;      12.00 ;    57.0000 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;    15 ; E. DA CUNHA  ; S1   ; H-FD ; DEFL ; 10015 ;  1.00 ;      12.00 ;    55.0000 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;VIOL_INF ;  1  ;LEVE   ;    14 ; CACONDE      ; S1   ; H-RV ; DEFL ; 10014 ;  1.00 ;       8.00 ;     0.0000 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;    10 ; IGARAPAVA    ; S1   ; H-FD ; DEFL ; 10010 ;  1.00 ;     119.00 ;  1180.0000 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  1  ;LEVE   ;     8 ; ESTREITO     ; S1   ; H-FD ; DEFL ; 10008 ;  1.00 ;     115.00 ;  1131.0000 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;     7 ; M. DE MORAES ; S1   ; H-RV ; DEFL ; 10007 ;  1.00 ;    1100.00 ;  1100.0000 ;     -      ;    -4789.17380 ;                     -                              ;(RegistroRQ) ;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;     6 ; FURNAS       ; S1   ; H-RV ; DEFL ; 10006 ;  1.00 ;     102.00 ;   102.0000 ;     -      ;    -6262.42819 ;                     -                              ;(RegistroRQ) ;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;     4 ; ST.CRUZ 34   ; S2   ; TERM ; TERM ;     4 ;  1.00 ;     -      ;   220.0000 ;     220.00 ;        0.00000 ;                     -                              ;             ;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;    50 ; PIRAT.12 G   ; S1   ; TERM ; TERM ;    50 ;  1.00 ;     -      ;   200.0000 ;     200.00 ;        0.00000 ;                     -                              ;             ;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;     3 ; ST.CRUZ 12   ; S1   ; TERM ; TERM ;     3 ;  1.00 ;     -      ;    84.0000 ;      84.00 ;        0.00000 ;                     -                              ;             ;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;     2 ; IGARAPE      ; S1   ; TERM ; TERM ;     2 ;  1.00 ;     -      ;     0.0000 ;     131.00 ;        0.00000 ;                     -                              ;             ;
 OTIMI ; ATIVA   ;  1  ;LEVE   ;     1 ; ANGRA 1      ; S1   ; TERM ; TERM ;     1 ;  1.00 ;     -      ;   657.0000 ;     657.00 ;        0.00000 ;                     -                              ;             ;
 OTIMI ; ATIVA   ;  2  ;LEVE   ;    33 ; SAO SIMAO    ; S2   ; H-RV ; DEFL ; 10033 ;  1.00 ;     450.00 ;   450.0000 ;     -      ;    -1322.90874 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  2  ;LEVE   ;    32 ; CACH.DOURADA ; S2   ; H-FD ; DEFL ; 10032 ;  1.00 ;     254.00 ;  1207.0842 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  2  ;LEVE   ;    31 ; ITUMBIARA    ; S2   ; H-RV ; DEFL ; 10031 ;  1.00 ;     233.00 ;  1095.0842 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ; ATIVA   ;  2  ;LEVE   ;    30 ; CORUMBA I    ; S2   ; H-RV ; DEFL ; 10030 ;  1.00 ;      74.00 ;    74.0000 ;     -      ;    -7865.14841 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  2  ;LEVE   ;    26 ; MIRANDA      ; S2   ; H-RV ; DEFL ; 10026 ;  1.00 ;      42.00 ;   459.0241 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  2  ;LEVE   ;    25 ; NOVA PONTE   ; S2   ; H-RV ; DEFL ; 10025 ;  1.00 ;      40.00 ;   153.0241 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ; ATIVA   ;  2  ;LEVE   ;    24 ; EMBORCACAO   ; S2   ; H-RV ; DEFL ; 10024 ;  1.00 ;      51.00 ;    51.0000 ;     -      ;    -1469.44381 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  2  ;LEVE   ;    16 ; A.S.OLIVEIRA ; S1   ; H-FD ; DEFL ; 10016 ;  1.00 ;      12.00 ;    57.0000 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
 OTIMI ;         ;  2  ;LEVE   ;    15 ; E. DA CUNHA  ; S1   ; H-FD ; DEFL ; 10015 ;  1.00 ;      12.00 ;    55.0000 ;     -      ;        0.00000 ;                     -                              ;(RegistroRQ) ;
