***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Somatorio de fluxos de circuitos/barras eletricas                                                   
  
-----;------;-------;-;-;-----;--------------------------------------------------;--------;--------;---;-----------;-----------;-----------;-----------;
     ;      ;       ; ; ;     ;                                                  ; Bar De/; Bar    ;   ;           ;           ;           ;           ;
IPER ; IND  ;  Pat  ;V;L;NUM  ;    Nome                                          ;   Bar  ; Para   ;Cir;   Valor   ;   Linf    ;   Lsup    ;  Multipl  ;
-----;------;-------;-;-;-----;--------------------------------------------------;--------;--------;---;-----------;-----------;-----------;-----------;
  1  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   491.058 ;-99999.000 ;  3600.000 ;     0.000 ;
  1  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   169.744 ;    -      ;    -      ;    -      ;
  1  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   212.569 ;    -      ;    -      ;    -      ;
  1  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   108.745 ;    -      ;    -      ;    -      ;
  1  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -224.135 ;-99999.000 ;  5000.000 ;     0.000 ;
  1  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -140.307 ;    -      ;    -      ;    -      ;
  1  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -83.828 ;    -      ;    -      ;    -      ;
  1  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.310 ;-99999.000 ;  9999.000 ;     0.000 ;
  1  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.482 ;    -      ;    -      ;    -      ;
  1  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
  1  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
  1  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
  1  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
  1  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
  2  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   508.929 ;-99999.000 ;  3600.000 ;     0.000 ;
  2  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   161.110 ;    -      ;    -      ;    -      ;
