***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 Problemas no Tratamento da Soleria do Desvio                                                       

------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
 IPER ; ITER ; IDES ;  Pat  ; USIH ;     Nome     ;  Vdisp.  ;  VolSol. ;Reg;   Tratamento PL    ;;   Vert    ;     Problema      ; Delta Vdisp;
   -  ;   -  ;   -  ;   -   ;   -  ;      -       ; ( Total  -   hm3 )  ;   ;Status ;Vertmax(hm3);;   (m3/s)  ;         -         ;   (hm3)    ;
------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
   1  ;   1  ;  S   ;LEVE   ;   6  ; FURNAS       ;  7476.58 ;  6173.76 ; M ; LIBER ;     1302.82 ;      0.00 ;                   ;       0.00 ;
   1  ;   1  ;  S   ;LEVE   ;   7  ; M. DE MORAES ;  1786.94 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       3.59 ;
   1  ;   1  ;  S   ;LEVE   ;  14  ; CACONDE      ;   303.31 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.00 ;
   1  ;   1  ;  S   ;LEVE   ;  24  ; EMBORCACAO   ; 11656.38 ; 10626.45 ; M ; LIBER ;     1029.92 ;      0.00 ;                   ;       0.00 ;
   1  ;   1  ;  S   ;LEVE   ;  25  ; NOVA PONTE   ; 10032.69 ;  5500.05 ; M ; LIBER ;     4532.64 ;      0.00 ;                   ;       0.00 ;
   1  ;   1  ;  S   ;LEVE   ;  26  ; MIRANDA      ;  1121.64 ;   975.00 ; M ; LIBER ;      147.35 ;      0.00 ;                   ;      -1.36 ;
   1  ;   1  ;  S   ;LEVE   ;  30  ; CORUMBA I    ;  1120.25 ;   739.04 ; M ; LIBER ;      381.21 ;      0.00 ;                   ;       0.00 ;
